Month,Marketing,Sales
1,107.2843469121,123.8192290261
2,214.5234466624,267.3184626873
3,327.1599336597,482.1072057455
4,437.3845967837,762.7569090162
5,518.3890383807,997.7348572607
6,657.6173120085,968.3224529411
7,727.2536229528,1228.4433008503
8,847.472727187,1396.4199916197
9,972.3584510456,1440.872583824
10,1053.5282709403,1971.2374432785
11,1124.2672764836,1319.6741616098
12,1315.4811132699,2446.4326732565
13,1314.6402903018,2210.1173836302
14,1487.804771727,1830.6586450711
15,1512.189985835,3116.5436385322
16,1615.7156069204,2477.8612635434
17,1807.5117125595,3493.6731582793
18,1821.3519284595,2882.6497439146
19,2032.1541615925,3967.2670458353
20,2011.9585602544,2770.9313016828
21,2232.4972082488,4403.7176169853
22,2262.4755188264,3816.2634372169
23,2370.5281603499,3573.0944044626
24,2594.0933383629,3987.4315228133
25,2697.4925092072,3468.4006098604
26,2704.1333551426,5611.8143122064
27,2743.7619163119,5070.1636757875
28,2984.9916422367,3705.3022944664
29,3169.8367619841,3553.8181402741
30,3068.8257533591,3635.643087383
31,3337.6883271872,5520.4816543801
32,3294.9452927709,4319.0644734159
33,3464.9076505448,4941.2744040031
34,3522.5947182113,4490.0421333201
35,3594.5045949426,5585.46924466
36,3794.4685564377,4794.699995853
37,3714.4686923409,5360.2225388586
38,3853.8671256974,6062.3679313424
39,4021.8075878732,4821.2920268517
40,4078.2308245078,6251.0290782257
41,4280.846177307,5225.3752104352
42,4249.8307149019,7932.5859498052
43,4453.0079382216,8334.2414166286
44,4781.711867461,8681.0703002754
45,4763.921441033,5240.208211505
46,5006.1124544172,9437.6258084872
47,4857.5735006179,5934.6457570861
48,5192.3119391129,10313.2226191863
49,5106.1958574923,7888.4573003704
50,5479.0462657111,6814.2631442708
51,5127.5863913563,5809.2912686691
52,5573.7017806806,7272.6240550167
53,5471.7664175062,11384.4588133471
54,5457.4338903464,11183.1089877913
55,5724.9952966464,11237.4237162505
56,5946.4281192608,11259.5258137139
57,5859.038389537,9065.3889551996
58,5962.2219938925,8410.0554704977
59,6106.2284470187,12679.3228600049
60,6002.0907795522,12109.2560101319
61,6192.9992666608,10493.1939331356
62,6241.5441210708,13255.4202141358
63,6347.8969943617,13276.7213482948
64,6807.3942065239,13861.5805606653
65,7008.6666012067,11798.5820262217
66,6933.8733603526,8322.6476915505
67,7112.6171625103,7809.3488158816
68,6870.9239460155,10219.9978872801
69,7320.47598148,13532.0048789043
70,7221.36932672,15167.7317792248
71,7589.9186540092,8529.3395216555
72,7771.8098132126,16866.3342058919
73,7840.0683637592,14860.7404857998
74,8022.5351290731,13465.3603253087
75,7809.1238414054,8801.8070689621
