Gender,Age,Class,UsuallyDrink,FavBotWatBrand,Preference,First,Second,Third,Fourth
F,18,F,Filtered,DEER PARK,CABD,Fiji,SamsChoice,Aquafina,Tap
F,18,F,Tap,NONE,CABD,Fiji,SamsChoice,Aquafina,Tap
F,18,F,Tap,DEER PARK,CADB,Fiji,SamsChoice,Tap,Aquafina
F,18,F,Tap,AQUAFINA,CBDA,Fiji,Aquafina,Tap,SamsChoice
M,19,J,Filtered,NONE,CBAD,Fiji,Aquafina,SamsChoice,Tap
M,19,J,Filtered,SAM'S,CABD,Fiji,SamsChoice,Aquafina,Tap
F,19,SO,Tap,NONE,CABD,Fiji,SamsChoice,Aquafina,Tap
F,40,O,Bottled,SAM'S,BDCA,Aquafina,Tap,Fiji,SamsChoice
M,23,SR,Tap,NONE,BCDA,Aquafina,Fiji,Tap,SamsChoice
F,35,O,Tap,FIJI,CABD,Fiji,SamsChoice,Aquafina,Tap
M,9,O,Tap,NONE,DACB,Tap,SamsChoice,Fiji,Aquafina
M,18,F,Tap,NONE,ACBD,SamsChoice,Fiji,Aquafina,Tap
F,19,SO,Bottled,NONE,BDAC,Aquafina,Tap,SamsChoice,Fiji
F,19,SO,Bottled,NONE,ABCD,SamsChoice,Aquafina,Fiji,Tap
F,19,SO,Tap,AQUAFINA,DBCA,Tap,Aquafina,Fiji,SamsChoice
F,22,O,Bottled,KIRKLAND,CABD,Fiji,SamsChoice,Aquafina,Tap
F,21,SR,Tap,AQUAFINA,CABD,Fiji,SamsChoice,Aquafina,Tap
F,19,SO,Bottled,DEER PARK,CABD,Fiji,SamsChoice,Aquafina,Tap
F,19,SO,Bottled,DEER PARK,ABCD,SamsChoice,Aquafina,Fiji,Tap
F,18,F,Bottled,NONE,CBAD,Fiji,Aquafina,SamsChoice,Tap
F,21,SR,Bottled,AQUAFINA,BACD,Aquafina,SamsChoice,Fiji,Tap
F,19,SO,Bottled,DEER PARK,ACBD,SamsChoice,Fiji,Aquafina,Tap
F,19,SO,Bottled,AQUAFINA,BCAD,Aquafina,Fiji,SamsChoice,Tap
F,19,SO,Bottled,DEER PARK,CADB,Fiji,SamsChoice,Tap,Aquafina
F,18,F,Tap,AQUAFINA,BCAD,Aquafina,Fiji,SamsChoice,Tap
M,2,O,Filtered,AQUAFINA,CABD,Fiji,SamsChoice,Aquafina,Tap
F,18,F,Filtered,AQUAFINA,ACBD,SamsChoice,Fiji,Aquafina,Tap
F,18,F,Bottled,AQUAFINA,ABDC,SamsChoice,Aquafina,Tap,Fiji
F,18,F,Bottled,AQUAFINA,CADB,Fiji,SamsChoice,Tap,Aquafina
M,22,SR,Filtered,FIJI,BCAD,Aquafina,Fiji,SamsChoice,Tap
F,21,SR,Bottled,AQUAFINA,CABD,Fiji,SamsChoice,Aquafina,Tap
M,40,O,Filtered,AQUAFINA,ADCB,SamsChoice,Tap,Fiji,Aquafina
M,19,J,Filtered,SAM'S,BACD,Aquafina,SamsChoice,Fiji,Tap
M,21,SR,Tap,NONE,ACDB,SamsChoice,Fiji,Tap,Aquafina
