Year,County,Strata,Strata_name,Population,Births,ABR,Lower_,Upper_
2014-2016,Alameda,Age 15-19,All,154934,1508,9.7,9.2,10.2
2014-2016,Alameda,Age 15-17,All,86666,367,4.2,3.8,4.6
2014-2016,Alameda,Age 18-19,All,68268,1141,16.7,15.7,17.7
2014-2016,Alameda,Age 15-19,Hispanic,46722,890,19,17.8,20.2
2014-2016,Alameda,Age 15-19,AsianPI,41518,82,2,1.6,2.5
2014-2016,Alameda,Age 15-19,White,37507,114,3,2.4,3.6
2014-2016,Alameda,Age 15-19,Black,18921,284,15,13.3,16.7
2014-2016,Alameda,Age 15-19,MultRace,9877,67,6.8,5.3,8.6
2014-2016,Alameda,Age 15-19,AIAN,389,S,S,S,S
2014-2016,Alpine,Age 15-19,All,129,0,0,0,0
2014-2016,Alpine,Age 15-19,White,88,0,0,0,0
2014-2016,Alpine,Age 15-17,All,82,0,0,0,0
2014-2016,Alpine,Age 18-19,All,47,0,0,0,0
2014-2016,Alpine,Age 15-19,AIAN,33,0,0,0,0
2014-2016,Alpine,Age 15-19,Hispanic,8,0,0,0,0
2014-2016,Alpine,Age 15-19,AsianPI,0,0,0,0,0
2014-2016,Alpine,Age 15-19,Black,0,0,0,0,0
2014-2016,Alpine,Age 15-19,MultRace,0,0,0,0,0
2014-2016,Amador,Age 15-19,All,2919,S,S,S,S
2014-2016,Amador,Age 15-19,White,2136,S,S,S,S
2014-2016,Amador,Age 15-17,All,1737,S,S,S,S
2014-2016,Amador,Age 18-19,All,1182,S,S,S,S
2014-2016,Amador,Age 15-19,Hispanic,525,S,S,S,S
2014-2016,Amador,Age 15-19,MultRace,172,S,S,S,S
2014-2016,Amador,Age 15-19,AIAN,47,S,S,S,S
2014-2016,Amador,Age 15-19,AsianPI,23,S,S,S,S
2014-2016,Amador,Age 15-19,Black,16,0,0,0,0
2014-2016,Butte,Age 15-19,All,25951,420,16.2,14.7,17.7
2014-2016,Butte,Age 15-19,White,16295,208,12.8,11.1,14.5
2014-2016,Butte,Age 18-19,All,13057,311,23.8,21.2,26.4
2014-2016,Butte,Age 15-17,All,12894,109,8.5,6.9,10.1
2014-2016,Butte,Age 15-19,Hispanic,5798,106,18.3,14.8,21.8
2014-2016,Butte,Age 15-19,AsianPI,1725,S,S,S,S
2014-2016,Butte,Age 15-19,MultRace,1344,S,S,S,S
2014-2016,Butte,Age 15-19,AIAN,431,S,S,S,S
2014-2016,Butte,Age 15-19,Black,358,S,S,S,S
2014-2016,Calaveras,Age 15-19,All,3995,S,S,S,S
2014-2016,Calaveras,Age 15-19,White,3009,S,S,S,S
2014-2016,Calaveras,Age 15-17,All,2273,S,S,S,S
2014-2016,Calaveras,Age 18-19,All,1722,S,S,S,S
2014-2016,Calaveras,Age 15-19,Hispanic,698,S,S,S,S
2014-2016,Calaveras,Age 15-19,MultRace,165,S,S,S,S
2014-2016,Calaveras,Age 15-19,AsianPI,58,0,0,0,0
2014-2016,Calaveras,Age 15-19,AIAN,34,S,S,S,S
2014-2016,Calaveras,Age 15-19,Black,31,0,0,0,0
2014-2016,Colusa,Age 15-19,All,2451,S,S,S,S
2014-2016,Colusa,Age 15-19,Hispanic,1713,S,S,S,S
2014-2016,Colusa,Age 15-17,All,1504,S,S,S,S
2014-2016,Colusa,Age 18-19,All,947,S,S,S,S
2014-2016,Colusa,Age 15-19,White,626,S,S,S,S
2014-2016,Colusa,Age 15-19,AIAN,48,S,S,S,S
2014-2016,Colusa,Age 15-19,MultRace,46,S,S,S,S
2014-2016,Colusa,Age 15-19,AsianPI,10,0,0,0,0
2014-2016,Colusa,Age 15-19,Black,8,0,0,0,0
2014-2016,Contra Costa,Age 15-19,All,106449,1178,11.1,10.5,11.7
2014-2016,Contra Costa,Age 15-17,All,66067,306,4.6,4.1,5.1
2014-2016,Contra Costa,Age 18-19,All,40382,872,21.6,20.2,23
2014-2016,Contra Costa,Age 15-19,White,39475,139,3.5,2.9,4.1
2014-2016,Contra Costa,Age 15-19,Hispanic,34394,716,20.8,19.3,22.3
2014-2016,Contra Costa,Age 15-19,AsianPI,13958,40,2.9,2.1,3.9
2014-2016,Contra Costa,Age 15-19,Black,11387,171,15,12.8,17.2
2014-2016,Contra Costa,Age 15-19,MultRace,7005,70,10,7.8,12.6
2014-2016,Contra Costa,Age 15-19,AIAN,230,0,0,0,0
2014-2016,Del Norte,Age 15-19,All,2504,S,S,S,S
2014-2016,Del Norte,Age 15-17,All,1559,S,S,S,S
2014-2016,Del Norte,Age 15-19,White,1414,S,S,S,S
2014-2016,Del Norte,Age 18-19,All,945,S,S,S,S
2014-2016,Del Norte,Age 15-19,Hispanic,536,S,S,S,S
2014-2016,Del Norte,Age 15-19,AIAN,255,S,S,S,S
2014-2016,Del Norte,Age 15-19,AsianPI,164,S,S,S,S
2014-2016,Del Norte,Age 15-19,MultRace,135,S,S,S,S
2014-2016,Del Norte,Age 15-19,Black,0,0,0,0,0
2014-2016,El Dorado,Age 15-19,All,18809,159,8.5,7.2,9.8
2014-2016,El Dorado,Age 15-19,White,13410,S,S,S,S
2014-2016,El Dorado,Age 15-17,All,11225,S,S,S,S
2014-2016,El Dorado,Age 18-19,All,7584,123,16.2,13.3,19.1
2014-2016,El Dorado,Age 15-19,Hispanic,3475,S,S,S,S
2014-2016,El Dorado,Age 15-19,MultRace,908,S,S,S,S
2014-2016,El Dorado,Age 15-19,AsianPI,687,S,S,S,S
2014-2016,El Dorado,Age 15-19,AIAN,165,S,S,S,S
2014-2016,El Dorado,Age 15-19,Black,164,S,S,S,S
2014-2016,Fresno,Age 15-19,All,120564,3592,29.8,28.8,30.8
2014-2016,Fresno,Age 15-19,Hispanic,72889,2702,37.1,35.7,38.5
2014-2016,Fresno,Age 15-17,All,67468,1131,16.8,15.8,17.8
2014-2016,Fresno,Age 18-19,All,53096,2461,46.4,44.6,48.2
2014-2016,Fresno,Age 15-19,White,25918,315,12.2,10.9,13.5
2014-2016,Fresno,Age 15-19,AsianPI,12342,210,17,14.7,19.3
2014-2016,Fresno,Age 15-19,Black,5944,266,44.8,39.4,50.2
2014-2016,Fresno,Age 15-19,MultRace,2865,54,18.8,14.1,24.5
2014-2016,Fresno,Age 15-19,AIAN,606,24,39.6,25.4,58.9
2014-2016,Glenn,Age 15-19,All,3193,S,S,S,S
2014-2016,Glenn,Age 15-17,All,1918,S,S,S,S
2014-2016,Glenn,Age 15-19,Hispanic,1615,S,S,S,S
2014-2016,Glenn,Age 15-19,White,1420,S,S,S,S
2014-2016,Glenn,Age 18-19,All,1275,S,S,S,S
2014-2016,Glenn,Age 15-19,AsianPI,61,S,S,S,S
2014-2016,Glenn,Age 15-19,MultRace,60,S,S,S,S
2014-2016,Glenn,Age 15-19,AIAN,26,S,S,S,S
2014-2016,Glenn,Age 15-19,Black,11,S,S,S,S
