season,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rentals
1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331
1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131
1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120
1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108
1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82
1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88
1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148
1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68
1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54
1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41
1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43
1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25
1,0,4,1,1,0.165,0.150883,0.470417,0.301,38
1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54
1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222
1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251
1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117
1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9
1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78
1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83
1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75
1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93
1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150
1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86
1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186
1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34
1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15
1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38
1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123
1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140
1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42
1,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47
1,0,3,1,2,0.26,0.254417,0.775417,0.264308,72
1,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61
1,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88
1,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100
1,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354
1,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120
1,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64
1,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53
1,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47
1,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149
1,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288
1,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397
1,0,1,1,1,0.415,0.39835,0.375833,0.417908,208
1,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140
1,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218
1,0,4,1,1,0.435833,0.428658,0.505,0.230104,259
1,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579
1,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532
1,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639
1,1,1,0,2,0.303333,0.284075,0.605,0.307846,195
1,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74
1,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139
1,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100
1,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120
1,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424
1,0,0,0,1,0.343478,0.351109,0.68,0.125248,694
1,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81
1,0,2,1,1,0.266667,0.263879,0.535,0.216425,137
1,0,3,1,1,0.335,0.320071,0.449583,0.307833,231
1,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123
1,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214
1,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640
1,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114
1,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244
1,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316
1,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191
1,0,4,1,3,0.389091,0.385668,0.0,0.261877,46
1,0,5,1,2,0.316522,0.305,0.649565,0.23297,247
1,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724
1,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982
1,0,1,1,1,0.325217,0.332,0.496957,0.136926,359
1,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289
1,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321
1,0,4,1,1,0.415,0.410333,0.602917,0.209579,424
1,0,5,1,1,0.54,0.527009,0.525217,0.231017,884
1,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424
1,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047
2,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401
2,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460
2,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203
2,0,4,1,2,0.285,0.270833,0.805833,0.243787,166
2,0,5,1,1,0.264167,0.256312,0.495,0.230725,300
2,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981
2,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472
2,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222
2,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317
2,0,3,1,2,0.3,0.29735,0.646667,0.172888,168
2,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179
2,0,5,1,2,0.3,0.283454,0.68625,0.258708,307
2,0,6,0,2,0.315,0.315637,0.65375,0.197146,898
2,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651
2,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734
2,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167
2,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413
2,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571
2,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172
2,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879
2,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188
2,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855
2,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257
2,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209
