,id,name,market_cap,market_cap_change_24h,content,top_3_coins,volume_24h,updated_at
0,layer-1,Layer 1 (L1),788901611156.746,-1.4067916895555674,,"['https://assets.coingecko.com/coins/images/1/small/bitcoin.png?1547033579', 'https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850']",18269869421.712246,2023-08-25T23:10:25.431Z
1,smart-contract-platform,Smart Contract Platform,305120967068.11414,-1.4095826532226177,"Smart contract platforms are usually blockchains that host smart contracts or decentralized applications. Users can interact with different smart contracts on these platforms to perform various actions such as lending and borrowing funds, staking their assets or minting NFTs.

Smart contracts are programs that are stored on the blockchain and are automatically executed when certain conditions are met. To interact with these smart contracts, transaction fees may need to be paid and the amount and asset required will vary based on the platform’s architecture. Usually, the smart contract platform’s native token is used to pay for transaction fees. Some popular examples of smart contract platforms include Ethereum, Solana and Polygon.","['https://assets.coingecko.com/coins/images/279/small/ethereum.png?1595348880', 'https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860']",10028585269.629341,2023-08-25T23:15:04.884Z
2,stablecoins,Stablecoins,124224536732.3737,0.18180894429455058,,"['https://assets.coingecko.com/coins/images/325/small/Tether.png?1668148663', 'https://assets.coingecko.com/coins/images/6319/small/USD_Coin_icon.png?1547042389', 'https://assets.coingecko.com/coins/images/9956/small/Badge_Dai.png?1687143508']",21043096605.9974,2023-08-25T23:15:04.636Z
3,alleged-sec-securities,Alleged SEC Securities,82584703727.87625,-1.1582692446443106,"Tokens and cryptocurrencies alleged to be securities by the U.S. Securities and Exchange Commission (SEC). 

Note: The labeling of these cryptocurrencies as securities by the SEC doesn't equate to the legal classification till proven in a court.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/975/small/cardano.png?1547034860', 'https://assets.coingecko.com/coins/images/4128/small/solana.png?1640133422']",2554524768.190229,2023-08-25T23:15:03.007Z
4,exchange-based-tokens,Exchange-based Tokens,53035210707.590065,-0.3098080974267498,"These tokens are normally associated with both centralized and decentralized exchanges and have different purposes. For centralized exchanges, these tokens usually serve to lower trading fees for users. Traders get to enjoy discounted rates when they hold a certain amount of these tokens and even unlock special benefits such as free withdrawals and airdrops. On the other hand, these tokens also function as a governance token for decentralized exchanges. Users can vote on proposals to shape the direction of the protocol based on the number of tokens held. They can also be staked to accrue trading fees.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215', 'https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398']",924251862.4893701,2023-08-25T23:15:06.393Z
5,centralized-exchange-token-cex,Centralized Exchange (CEX),45527746531.89229,0.17830773980501458,"These utility tokens are issued by a centralized exchange and can be used for a variety of purposes. Although holders are not able to exercise governance, they still carry many other benefits. Based on the amount of tokens held, users on the exchange get to enjoy discounted trading fees. Additionally, stakers can gain access to exclusive token sales on the exchange, where their allocation is also determined based on the number of exchange tokens staked.","['https://assets.coingecko.com/coins/images/825/small/bnb-icon2_2x.png?1644979850', 'https://assets.coingecko.com/coins/images/8418/small/leo-token.png?1558326215', 'https://assets.coingecko.com/coins/images/4463/small/WeChat_Image_20220118095654.png?1642471050']",485677354.577842,2023-08-25T23:10:20.103Z
6,decentralized-finance-defi,Decentralized Finance (DeFi),42738857258.75291,-2.2056212309631325,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/9956/small/Badge_Dai.png?1687143508', 'https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398']",33945942570.157055,2023-08-25T23:15:08.259Z
7,liquid-staking-tokens,Liquid Staking Tokens,16362853797.690016,0.9660409917339817,,"['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/20764/small/reth.png?1637652366', 'https://assets.coingecko.com/coins/images/28284/small/frxETH_icon.png?1679886981']",46168292.756603666,2023-08-25T23:10:28.540Z
8,meme-token,Meme,14912371722.107883,-2.249262997155239,"Meme coins derive their relevance from memes, thriving on hype and picking up momentum as the community grows.","['https://assets.coingecko.com/coins/images/5/small/dogecoin.png?1547792256', 'https://assets.coingecko.com/coins/images/11939/small/shiba.png?1622619446', 'https://assets.coingecko.com/coins/images/29850/small/pepe-token.jpeg?1682922725']",673587146.5546287,2023-08-25T23:10:23.106Z
9,eth-2-0-staking,Eth 2.0 Staking,14424751300.89793,1.3026043403412626,"In Ethereum 2.0, the consensus algorithm is transitioned from Proof-of-Work to Proof-of-Stake, allowing users to stake their Ether and validate transactions in exchange for staking rewards. When you participate in ETH 2.0 staking solutions, you will usually receive a token which represents your staked assets but are also liquid and can be used in other protocols. Here, you can find different tokens which represent staked Ether from various protocols.","['https://assets.coingecko.com/coins/images/13442/small/steth_logo.png?1608607546', 'https://assets.coingecko.com/coins/images/27008/small/cbeth.png?1661390066', 'https://assets.coingecko.com/coins/images/4324/small/U85xTl2.png?1608111978']",44836159.7014824,2023-08-25T23:10:22.703Z
10,governance,Governance,11920519259.453888,-2.9368636042189413,"Governance tokens are used to determine the direction or decisions taken by a protocol. A protocol’s team or even its community members can create proposals to introduce new features or even change the terms of governance itself. Once a proposal has been discussed and further fleshed out, token holders can vote on the decision to be made. The weight of your votes is determined based on the number of governance tokens held. ","['https://assets.coingecko.com/coins/images/12504/small/uni.jpg?1687143398', 'https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/1364/small/Mark_Maker.png?1585191826']",583849687.541463,2023-08-25T23:15:06.636Z
11,non-fungible-tokens-nft,NFT,11473128267.742275,-1.4712681847634221,"Non-fungible tokens, or NFTs, are collectible elements within the Ethereum blockchain that usually follow the ERC-721 or ERC-1155 standard. They represent something unique and therefore are not mutually interchangeable. In other words, no non-fungible token is the same. NFTs take advantage of innovative smart contract technology to store and record unique information on the blockchain, which means that whenever an NFT is created, only one of it verifiably exists. NFT creators can also encrypt details such as rich metadata or secure file links allowing people to create all sorts of digital assets which are verifiable such as videos and songs. With NFTs, one can digitally certify that an asset is authentic.","['https://assets.coingecko.com/coins/images/14495/small/Internet_Computer_logo.png?1620703073', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/2538/small/theta-token-logo.png?1548387191']",1096838802.5189373,2023-08-25T23:10:22.081Z
12,binance-launchpad,Binance Launchpad,10330383373.283054,-2.3797920291325374,"Tokens and coins launched on Binance Launchpad, a platform that assists blockchain and crypto startups in raising funds.","['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/12129/small/sandbox_logo.jpg?1597397942', 'https://assets.coingecko.com/coins/images/12335/small/egld-token-logo.png?1673490885']",562085066.5058949,2023-08-25T23:15:01.107Z
13,layer-2,Layer 2 (L2),10050025234.985548,-2.3520866532972455,,"['https://assets.coingecko.com/coins/images/4713/small/matic-token-icon.png?1624446912', 'https://assets.coingecko.com/coins/images/30980/small/token-logo.png?1689320029', 'https://assets.coingecko.com/coins/images/16547/small/photo_2023-03-29_21.47.00.jpeg?1680097630']",603298279.1022568,2023-08-25T23:10:29.209Z
