Entity,Code,Year,Cost of a healthy diet
Albania,ALB,2017,3.952
Albania,ALB,2018,4.069
Albania,ALB,2019,4.262
Albania,ALB,2020,4.28
Albania,ALB,2021,4.388
Algeria,DZA,2017,3.763
Algeria,DZA,2018,3.822
Algeria,DZA,2019,3.796
Algeria,DZA,2020,3.76
Algeria,DZA,2021,4.043
Angola,AGO,2017,4.327
Angola,AGO,2018,4.293
Angola,AGO,2019,4.352
Angola,AGO,2020,4.585
Angola,AGO,2021,5.031
Anguilla,AIA,2017,3.717
Antigua and Barbuda,ATG,2017,4.112
Antigua and Barbuda,ATG,2018,4.302
Antigua and Barbuda,ATG,2019,4.391
Antigua and Barbuda,ATG,2020,4.504
Antigua and Barbuda,ATG,2021,4.684
Argentina,ARG,2017,3.341
Armenia,ARM,2017,3.096
Armenia,ARM,2018,3.166
Armenia,ARM,2019,3.237
Armenia,ARM,2020,3.247
Armenia,ARM,2021,3.527
Aruba,ABW,2017,3.418
Aruba,ABW,2018,3.62
Aruba,ABW,2019,3.907
Aruba,ABW,2020,4.007
Aruba,ABW,2021,4.116
Australia,AUS,2017,2.259
Australia,AUS,2018,2.283
Australia,AUS,2019,2.296
Australia,AUS,2020,2.389
Australia,AUS,2021,2.437
Austria,AUT,2017,2.772
Austria,AUT,2018,2.848
Austria,AUT,2019,2.915
Austria,AUT,2020,3.004
Austria,AUT,2021,3.027
Azerbaijan,AZE,2017,2.348
Azerbaijan,AZE,2018,2.399
Azerbaijan,AZE,2019,2.459
Azerbaijan,AZE,2020,2.533
Azerbaijan,AZE,2021,2.69
Bahamas,BHS,2017,4.276
Bahamas,BHS,2018,4.387
Bahamas,BHS,2019,4.364
Bahamas,BHS,2020,4.488
Bahamas,BHS,2021,4.661
Bahrain,BHR,2017,3.379
Bahrain,BHR,2018,3.463
Bahrain,BHR,2019,3.573
Bahrain,BHR,2020,3.835
Bahrain,BHR,2021,4.036
Bangladesh,BGD,2017,2.882
Bangladesh,BGD,2018,2.971
Bangladesh,BGD,2019,3.024
Bangladesh,BGD,2020,3.064
Bangladesh,BGD,2021,3.201
Belarus,BLR,2017,3.177
Belarus,BLR,2018,3.228
Belarus,BLR,2019,3.31
Belarus,BLR,2020,3.31
Belarus,BLR,2021,3.471
Belgium,BEL,2017,2.862
Belgium,BEL,2018,2.962
Belgium,BEL,2019,3.047
Belgium,BEL,2020,3.159
Belgium,BEL,2021,3.125
Belize,BLZ,2017,2.476
Belize,BLZ,2018,2.517
Belize,BLZ,2019,2.574
Belize,BLZ,2020,2.632
Belize,BLZ,2021,2.797
Benin,BEN,2017,3.55
Benin,BEN,2018,3.67
Benin,BEN,2019,3.664
Benin,BEN,2020,3.707
Benin,BEN,2021,4.041
Bermuda,BMU,2017,4.072
Bermuda,BMU,2018,3.789
Bermuda,BMU,2019,3.834
Bermuda,BMU,2020,3.718
Bermuda,BMU,2021,3.395
Bhutan,BTN,2017,4.383
Bhutan,BTN,2018,4.587
Bhutan,BTN,2019,4.712
Bhutan,BTN,2020,5.02
Bhutan,BTN,2021,5.339
Bolivia,BOL,2017,3.551
Bolivia,BOL,2018,3.648
