,ID,GENDER,CAR,REALITY,NO_OF_CHILD,INCOME,INCOME_TYPE,EDUCATION_TYPE,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET
0,5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,29,59,3,0
1,5008808,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1.0,4,52,8,0
2,5008809,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1.0,26,52,8,0
3,5008810,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1.0,26,52,8,0
4,5008811,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,1,1,1.0,38,52,8,0
5,5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,1,2.0,5,46,2,0
6,5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,1,1,1,1,2.0,42,46,2,0
7,5008819,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,17,49,3,0
8,5008820,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,16,49,3,0
9,5008821,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,8,49,3,0
10,5008822,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,22,49,3,0
11,5008823,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,7,49,3,0
12,5008824,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,2.0,3,49,3,0
13,5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,2.0,25,29,3,0
14,5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,1,0,0,0,2.0,30,29,3,0
15,5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2.0,31,27,4,0
16,5008831,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2.0,19,27,4,0
17,5008832,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,2.0,34,27,4,0
18,5008836,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,5.0,24,35,3,0
19,5008837,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,5.0,18,35,3,0
20,5008838,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3.0,39,32,6,0
21,5008839,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3.0,13,32,6,0
22,5008840,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,3.0,55,32,6,0
