Cultivo;Campaña;Provincia;Departamento;"Sup. Sembrada";"Sup. Cosechada";Producción;Rendimiento
Girasol;1969/70;"BUENOS AIRES";"25 de Mayo";30.000;30.000;22.500;750
Girasol;1970/71;"BUENOS AIRES";"25 de Mayo";44.000;31.000;15.000;484
Girasol;1971/72;"BUENOS AIRES";"25 de Mayo";22.000;19.000;10.450;550
Girasol;1972/73;"BUENOS AIRES";"25 de Mayo";20.000;5.000;5.100;1.020
Girasol;1973/74;"BUENOS AIRES";"25 de Mayo";14.000;14.000;10.800;771
Girasol;1974/75;"BUENOS AIRES";"25 de Mayo";8.000;2.400;2.160;900
Girasol;1975/76;"BUENOS AIRES";"25 de Mayo";10.000;9.000;10.800;1.200
Girasol;1976/77;"BUENOS AIRES";"25 de Mayo";10.000;6.000;3.600;600
Girasol;1977/78;"BUENOS AIRES";"25 de Mayo";12.000;11.000;11.000;1.000
Girasol;1978/79;"BUENOS AIRES";"25 de Mayo";12.000;10.500;13.150;1.252
Girasol;1979/80;"BUENOS AIRES";"25 de Mayo";16.000;15.200;21.000;1.382
Girasol;1980/81;"BUENOS AIRES";"25 de Mayo";15.000;14.500;13.050;900
Girasol;1981/82;"BUENOS AIRES";"25 de Mayo";13.200;13.200;20.400;1.545
Girasol;1982/83;"BUENOS AIRES";"25 de Mayo";18.000;18.000;27.000;1.500
Girasol;1983/84;"BUENOS AIRES";"25 de Mayo";21.000;21.000;23.100;1.100
Girasol;1984/85;"BUENOS AIRES";"25 de Mayo";22.000;22.000;26.000;1.182
Girasol;1985/86;"BUENOS AIRES";"25 de Mayo";27.500;27.500;46.800;1.702
Girasol;1986/87;"BUENOS AIRES";"25 de Mayo";14.000;14.000;18.200;1.300
Girasol;1987/88;"BUENOS AIRES";"25 de Mayo";30.000;30.000;36.000;1.200
Girasol;1988/89;"BUENOS AIRES";"25 de Mayo";20.000;19.600;27.500;1.403
Girasol;1989/90;"BUENOS AIRES";"25 de Mayo";27.500;27.500;44.000;1.600
Girasol;1990/91;"BUENOS AIRES";"25 de Mayo";26.000;26.000;44.200;1.700
Girasol;1991/92;"BUENOS AIRES";"25 de Mayo";27.500;25.500;33.200;1.302
Girasol;1992/93;"BUENOS AIRES";"25 de Mayo";24.700;24.000;36.000;1.500
Girasol;1993/94;"BUENOS AIRES";"25 de Mayo";15.200;15.200;27.400;1.803
Girasol;1994/95;"BUENOS AIRES";"25 de Mayo";30.000;30.000;58.500;1.950
Girasol;1995/96;"BUENOS AIRES";"25 de Mayo";28.750;28.750;66.100;2.299
Girasol;1996/97;"BUENOS AIRES";"25 de Mayo";28.800;28.800;63.400;2.201
Girasol;1997/98;"BUENOS AIRES";"25 de Mayo";31.700;29.700;50.500;1.700
Girasol;1998/99;"BUENOS AIRES";"25 de Mayo";41.200;41.200;78.300;1.900
Girasol;1999/00;"BUENOS AIRES";"25 de Mayo";23.300;23.300;44.300;1.901
Girasol;2000/01;"BUENOS AIRES";"25 de Mayo";4.660;4.660;9.320;2.000
Girasol;2001/02;"BUENOS AIRES";"25 de Mayo";3.500;3.350;6.365;1.900
Girasol;2002/03;"BUENOS AIRES";"25 de Mayo";2.400;2.400;6.200;2.583
Girasol;2003/04;"BUENOS AIRES";"25 de Mayo";2.000;1.910;4.900;2.565
Girasol;2004/05;"BUENOS AIRES";"25 de Mayo";2.200;2.110;6.380;3.024
Girasol;2005/06;"BUENOS AIRES";"25 de Mayo";3.600;3.520;9.504;2.700
Girasol;2006/07;"BUENOS AIRES";"25 de Mayo";1.600;1.600;4.160;2.600
Girasol;2007/08;"BUENOS AIRES";"25 de Mayo";2.000;2.000;5.200;2.600
Girasol;2008/09;"BUENOS AIRES";"25 de Mayo";2.600;2.600;6.500;2.500
Girasol;2009/10;"BUENOS AIRES";"25 de Mayo";4.000;4.000;10.800;2.700
Girasol;2010/11;"BUENOS AIRES";"25 de Mayo";4.500;4.500;14.850;3.300
Girasol;2011/12;"BUENOS AIRES";"25 de Mayo";8.000;8.000;19.200;2.400
Girasol;2012/13;"BUENOS AIRES";"25 de Mayo";3.800;3.800;9.120;2.400
Girasol;2013/14;"BUENOS AIRES";"25 de Mayo";5.000;5.000;12.000;2.400
Girasol;2014/15;"BUENOS AIRES";"25 de Mayo";4.000;4.000;11.200;2.800
Girasol;2015/16;"BUENOS AIRES";"25 de Mayo";2.000;2.000;5.400;2.700
Girasol;1969/70;"BUENOS AIRES";"9 de Julio";50.000;50.000;41.316;826
Girasol;1970/71;"BUENOS AIRES";"9 de Julio";41.000;38.000;17.100;450
Girasol;1971/72;"BUENOS AIRES";"9 de Julio";24.000;22.000;14.300;650
Girasol;1972/73;"BUENOS AIRES";"9 de Julio";20.000;5.000;3.400;680
Girasol;1973/74;"BUENOS AIRES";"9 de Julio";7.000;7.000;4.900;700
Girasol;1974/75;"BUENOS AIRES";"9 de Julio";5.000;3.000;2.400;800
Girasol;1975/76;"BUENOS AIRES";"9 de Julio";6.000;6.000;7.200;1.200
Girasol;1976/77;"BUENOS AIRES";"9 de Julio";10.000;7.500;4.500;600
Girasol;1977/78;"BUENOS AIRES";"9 de Julio";15.000;14.000;16.000;1.143
Girasol;1978/79;"BUENOS AIRES";"9 de Julio";15.000;14.500;17.500;1.207
Girasol;1979/80;"BUENOS AIRES";"9 de Julio";19.000;16.000;16.000;1.000
Girasol;1980/81;"BUENOS AIRES";"9 de Julio";18.000;17.700;21.240;1.200
Girasol;1981/82;"BUENOS AIRES";"9 de Julio";17.350;17.350;24.250;1.398
Girasol;1982/83;"BUENOS AIRES";"9 de Julio";7.500;7.500;11.250;1.500
Girasol;1983/84;"BUENOS AIRES";"9 de Julio";12.000;10.000;10.000;1.000
Girasol;1984/85;"BUENOS AIRES";"9 de Julio";18.000;18.000;28.000;1.556
Girasol;1985/86;"BUENOS AIRES";"9 de Julio";25.500;25.500;34.700;1.361
Girasol;1986/87;"BUENOS AIRES";"9 de Julio";20.000;19.300;32.800;1.699
Girasol;1987/88;"BUENOS AIRES";"9 de Julio";18.000;18.000;27.000;1.500
Girasol;1988/89;"BUENOS AIRES";"9 de Julio";19.000;19.000;42.000;2.211
Girasol;1989/90;"BUENOS AIRES";"9 de Julio";29.000;28.000;45.000;1.607
Girasol;1990/91;"BUENOS AIRES";"9 de Julio";26.000;25.700;54.000;2.101
Girasol;1991/92;"BUENOS AIRES";"9 de Julio";34.000;34.000;54.400;1.600
Girasol;1992/93;"BUENOS AIRES";"9 de Julio";28.600;28.100;45.000;1.601
Girasol;1993/94;"BUENOS AIRES";"9 de Julio";21.000;21.000;42.000;2.000
Girasol;1994/95;"BUENOS AIRES";"9 de Julio";30.000;29.700;74.300;2.502
Girasol;1995/96;"BUENOS AIRES";"9 de Julio";32.000;31.200;74.900;2.401
Girasol;1996/97;"BUENOS AIRES";"9 de Julio";27.000;26.600;53.200;2.000
Girasol;1997/98;"BUENOS AIRES";"9 de Julio";24.000;19.800;23.800;1.202
Girasol;1998/99;"BUENOS AIRES";"9 de Julio";25.000;24.500;44.100;1.800
Girasol;1999/00;"BUENOS AIRES";"9 de Julio";11.000;11.000;22.000;2.000
Girasol;2000/01;"BUENOS AIRES";"9 de Julio";3.000;3.000;5.400;1.800
Girasol;2001/02;"BUENOS AIRES";"9 de Julio";2.000;2.000;5.400;2.700
Girasol;2002/03;"BUENOS AIRES";"9 de Julio";2.500;2.500;5.000;2.000
Girasol;2003/04;"BUENOS AIRES";"9 de Julio";2.000;2.000;4.000;2.000
Girasol;2004/05;"BUENOS AIRES";"9 de Julio";4.000;4.000;11.600;2.900
Girasol;2005/06;"BUENOS AIRES";"9 de Julio";5.000;5.000;14.000;2.800
Girasol;2006/07;"BUENOS AIRES";"9 de Julio";6.000;6.000;13.200;2.200
Girasol;2007/08;"BUENOS AIRES";"9 de Julio";6.500;6.500;16.250;2.500
Girasol;2008/09;"BUENOS AIRES";"9 de Julio";7.500;7.500;18.750;2.500
Girasol;2009/10;"BUENOS AIRES";"9 de Julio";10.000;10.000;18.200;1.820
Girasol;2010/11;"BUENOS AIRES";"9 de Julio";8.500;8.500;22.100;2.600
Girasol;2011/12;"BUENOS AIRES";"9 de Julio";8.500;8.330;19.160;2.300
Girasol;2012/13;"BUENOS AIRES";"9 de Julio";1.000;950;3.140;3.305
Girasol;2013/14;"BUENOS AIRES";"9 de Julio";2.000;2.000;5.000;2.500
Girasol;2014/15;"BUENOS AIRES";"9 de Julio";2.000;2.000;5.000;2.500
Girasol;2015/16;"BUENOS AIRES";"9 de Julio";2.000;2.000;5.000;2.500
Girasol;1969/70;"BUENOS AIRES";"Adolfo Alsina";10.000;10.000;9.000;900
Girasol;1970/71;"BUENOS AIRES";"Adolfo Alsina";12.000;8.000;4.000;500
Girasol;1971/72;"BUENOS AIRES";"Adolfo Alsina";10.000;5.000;2.500;500
Girasol;1972/73;"BUENOS AIRES";"Adolfo Alsina";12.000;11.500;7.475;650
Girasol;1973/74;"BUENOS AIRES";"Adolfo Alsina";8.000;7.000;6.300;900
Girasol;1974/75;"BUENOS AIRES";"Adolfo Alsina";5.000;3.500;1.750;500
Girasol;1975/76;"BUENOS AIRES";"Adolfo Alsina";7.000;6.000;3.600;600
Girasol;1976/77;"BUENOS AIRES";"Adolfo Alsina";10.000;9.000;6.750;750
Girasol;1977/78;"BUENOS AIRES";"Adolfo Alsina";24.000;22.000;16.500;750
Girasol;1978/79;"BUENOS AIRES";"Adolfo Alsina";21.600;17.000;17.000;1.000
Girasol;1979/80;"BUENOS AIRES";"Adolfo Alsina";23.800;22.000;17.600;800
Girasol;1980/81;"BUENOS AIRES";"Adolfo Alsina";18.000;18.000;18.000;1.000
Girasol;1981/82;"BUENOS AIRES";"Adolfo Alsina";28.000;26.700;26.000;974
Girasol;1982/83;"BUENOS AIRES";"Adolfo Alsina";25.000;24.000;21.600;900
Girasol;1983/84;"BUENOS AIRES";"Adolfo Alsina";25.000;24.500;24.500;1.000
Girasol;1984/85;"BUENOS AIRES";"Adolfo Alsina";28.000;28.000;32.000;1.143
Girasol;1985/86;"BUENOS AIRES";"Adolfo Alsina";52.000;50.000;73.800;1.476
Girasol;1986/87;"BUENOS AIRES";"Adolfo Alsina";30.000;30.000;30.000;1.000
Girasol;1987/88;"BUENOS AIRES";"Adolfo Alsina";38.000;36.000;57.000;1.583
Girasol;1988/89;"BUENOS AIRES";"Adolfo Alsina";40.000;39.000;68.500;1.756
Girasol;1989/90;"BUENOS AIRES";"Adolfo Alsina";45.000;40.000;60.000;1.500
Girasol;1990/91;"BUENOS AIRES";"Adolfo Alsina";41.000;41.000;77.900;1.900
Girasol;1991/92;"BUENOS AIRES";"Adolfo Alsina";50.000;50.000;60.000;1.200
Girasol;1992/93;"BUENOS AIRES";"Adolfo Alsina";42.000;42.000;71.400;1.700
Girasol;1993/94;"BUENOS AIRES";"Adolfo Alsina";50.000;49.600;91.800;1.851
Girasol;1994/95;"BUENOS AIRES";"Adolfo Alsina";60.000;60.000;108.000;1.800
Girasol;1995/96;"BUENOS AIRES";"Adolfo Alsina";73.000;73.000;102.200;1.400
Girasol;1996/97;"BUENOS AIRES";"Adolfo Alsina";67.000;65.650;124.700;1.899
Girasol;1997/98;"BUENOS AIRES";"Adolfo Alsina";85.000;85.000;154.700;1.820
Girasol;1998/99;"BUENOS AIRES";"Adolfo Alsina";95.000;95.000;152.000;1.600
Girasol;1999/00;"BUENOS AIRES";"Adolfo Alsina";76.300;73.800;101.100;1.370
Girasol;2000/01;"BUENOS AIRES";"Adolfo Alsina";41.000;41.000;61.000;1.488
Girasol;2001/02;"BUENOS AIRES";"Adolfo Alsina";53.700;53.700;94.070;1.752
Girasol;2002/03;"BUENOS AIRES";"Adolfo Alsina";57.000;57.000;101.000;1.772
Girasol;2003/04;"BUENOS AIRES";"Adolfo Alsina";57.000;57.000;84.000;1.474
Girasol;2004/05;"BUENOS AIRES";"Adolfo Alsina";67.000;67.000;153.600;2.293
Girasol;2005/06;"BUENOS AIRES";"Adolfo Alsina";68.000;68.000;81.600;1.200
Girasol;2006/07;"BUENOS AIRES";"Adolfo Alsina";80.000;80.000;96.000;1.200
Girasol;2007/08;"BUENOS AIRES";"Adolfo Alsina";90.000;90.000;153.000;1.700
Girasol;2008/09;"BUENOS AIRES";"Adolfo Alsina";72.000;72.000;86.400;1.200
Girasol;2009/10;"BUENOS AIRES";"Adolfo Alsina";65.000;65.000;58.500;900
Girasol;2010/11;"BUENOS AIRES";"Adolfo Alsina";60.000;60.000;120.000;2.000
Girasol;2011/12;"BUENOS AIRES";"Adolfo Alsina";65.000;65.000;78.000;1.200
Girasol;2012/13;"BUENOS AIRES";"Adolfo Alsina";60.000;60.000;132.000;2.200
Girasol;2013/14;"BUENOS AIRES";"Adolfo Alsina";45.000;45.000;40.500;900
Girasol;2014/15;"BUENOS AIRES";"Adolfo Alsina";51.000;51.000;107.100;2.100
Girasol;2015/16;"BUENOS AIRES";"Adolfo Alsina";52.000;52.000;109.200;2.100
Girasol;1969/70;"BUENOS AIRES";"Adolfo Gonzales Chaves";1.500;1.350;1.147;850
Girasol;1970/71;"BUENOS AIRES";"Adolfo Gonzales Chaves";2.500;2.000;1.180;590
Girasol;1971/72;"BUENOS AIRES";"Adolfo Gonzales Chaves";2.500;2.250;1.800;800
Girasol;1972/73;"BUENOS AIRES";"Adolfo Gonzales Chaves";3.000;2.700;1.755;650
Girasol;1973/74;"BUENOS AIRES";"Adolfo Gonzales Chaves";10.000;9.300;8.370;900
Girasol;1974/75;"BUENOS AIRES";"Adolfo Gonzales Chaves";10.000;8.500;5.525;650
Girasol;1975/76;"BUENOS AIRES";"Adolfo Gonzales Chaves";7.000;6.300;4.095;650
Girasol;1976/77;"BUENOS AIRES";"Adolfo Gonzales Chaves";8.000;7.000;5.250;750
Girasol;1977/78;"BUENOS AIRES";"Adolfo Gonzales Chaves";15.000;14.000;11.200;800
Girasol;1978/79;"BUENOS AIRES";"Adolfo Gonzales Chaves";15.000;14.500;9.000;621
