Año,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019
Periodo,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual,T1,T2,T3,T4,Anual
Entidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Estados Unidos Mexicanos,78.7900344417544,81.0365813300515,79.5700932549441,81.7542310189945,80.2877350114361,81.5074107257999,84.390266894527,82.5180217154156,85.3055653454162,83.4303161702897,82.0648747549177,86.6506200317233,84.6437322888023,87.9575601190339,85.3291967986193,86.6282431535405,90.2076745735658,88.5537700620811,90.8520130523238,89.0604252103778,88.3787354820852,92.0048721620553,90.672474057901,93.4471634127779,91.1258112787048,89.3690775829822,94.3289336352047,91.7998873725485,92.7973554962248,92.0738135217401,84.4344756584332,86.0798089653536,87.245755542842,91.2491951978068,87.2523088411089,88.2663088878939,92.0545907091643,91.5290004246613,95.15769351991,91.7518983854074,91.5001896189158,94.589114486631,95.2602544259371,99.0418781818463,95.0978591783326,95.9576584716461,98.4716783741142,97.9255110456356,102.233594604887,98.6471106240707,96.6187064024348,100.549926105187,99.3583168370973,103.47305065528,100,99.0380705159596,102.738016466665,102.089648016574,106.823260812041,102.67224895281,102.478547448969,105.730708509538,106.033620912933,109.503786646612,105.936665879513,105.342280494859,109.027724300613,107.98415085532,112.937252583262,108.822852058514,108.903539222286,111.012428051851,109.611438646224,114.652696597498,111.045025629464,110.169036304857,113.889837219195,112.305254691897,116.502039536956,113.216541938226,111.506202021806,,,,
          Aguascalientes,67.4070981994209,68.7219408552029,72.1977570173071,72.1900124287953,70.1292021251816,69.0165122581568,73.0645407643908,73.1532384730806,77.680385830113,73.2286693314353,72.7467725214697,74.6261324545199,74.3176591539661,78.3387353674452,75.0073248743502,75.5115005022008,78.7609059675724,80.6739188507712,84.7190582823496,79.9163459007235,84.9979820083609,85.0789040733017,89.066809533212,88.7435611734809,86.9718141970889,84.0481977360334,88.4766724685276,89.032546802374,87.822407930367,87.3449562343255,78.38681804694,80.1282065535213,85.1661402393735,87.8858752029915,82.8917600107066,84.8003412575592,86.681052494232,90.4265199232396,90.3771907681885,88.0712761108048,88.2258003520309,90.47335037165,92.6426076840026,96.5185347229735,91.9650732826643,94.5962807607351,96.2767312471116,96.7672558715598,100.521952421405,97.0405550752028,96.8864096345655,100.231243670869,100.619030995956,102.263315698609,100,107.087662286428,109.663254242916,110.336249795969,115.079356812006,110.54163078433,110.728742826209,114.032788622107,115.28904520432,118.634364397771,114.671235262602,117.119133674319,126.458097317966,126.503865486155,130.37137906741,125.113118886462,130.946168095255,128.261487722405,129.950449586064,131.287757149826,130.111465638387,133.247460251813,131.218654331035,136.219503717666,142.063255379246,135.68721841994,133.380586729907,,,,
          Baja California,87.3769068765284,86.4768026933681,85.5403987357891,83.8870344574926,85.8202856907945,88.0759074058397,94.5387505738485,90.5479366670334,90.3029755782585,90.866392556245,88.0402048570795,93.5244827475511,93.8197082596807,96.675922382761,93.0150795617681,91.8468136659549,98.2320005708892,100.33611814601,101.417593370152,97.9581314382515,94.0988058429872,99.1346808518271,102.605793062384,100.772353583622,99.1529083352051,96.9441094478647,101.592608502674,99.8518368279765,94.7648658887122,98.2883551668068,85.2821214632038,88.2588163320013,87.9757439655306,88.8371897080064,87.5884678671855,86.0966553699094,93.3821228187741,93.8793482254789,94.5386156712925,91.9741855213638,90.03931698069,94.5116502984812,96.1063788742617,98.0127149532034,94.6675152766591,92.6609190168863,99.4289387576167,99.4647305183139,100.28238673471,97.9592437568816,95.4589342035304,101.065055791207,102.102960061562,101.3730499437,100,95.1517717720136,102.32720781141,102.652162326559,106.603325583383,101.683616873341,102.873182286838,108.29168597235,110.269124650811,113.290663479754,108.681164097438,106.843807628448,113.262322436592,114.91615614592,118.676330972686,113.424654295911,111.623043786251,118.131570069707,117.530905648537,120.979091051603,117.066152639025,115.449335673346,121.450319559945,119.809674270096,122.687643906911,119.849243352574,118.503312611485,,,,
          Baja California Sur,64.9169219676688,64.9420619315391,65.5266092641689,69.0642062320525,66.1124498488573,63.9827445099768,72.3298419030025,70.1909758651715,77.0665688865622,70.8925327911783,75.4745491814615,76.869215075243,73.2886789809187,78.2864004253925,75.9797109157539,79.3839588731574,81.3536973452428,80.415007283052,84.5277291191866,81.4200981551597,86.4592046442613,89.8857247594389,96.2990988323432,96.6565080722132,92.3251340770641,95.2811751071104,99.3426128569631,93.7126389341565,90.6172026624621,94.738407390173,92.0187149843505,95.3805076068796,91.7425481614181,97.5983140893799,94.185021210507,96.6292682231955,96.4189407015217,93.8193942328685,97.9317253227833,96.1998321200923,100.249089490658,98.7090559198188,97.7649125231954,102.16458049566,99.7219096073331,99.3441601427093,105.122556337513,98.8503194997709,104.744296477383,102.015333114344,97.5064229908132,99.4179733802641,98.2393818131677,104.836221815755,100,99.5598272228885,99.7284068182716,97.5327455784892,102.635468000496,99.8641119050364,111.825900864195,117.066151107604,109.187088797573,114.321963308163,113.100276019384,111.790468373268,113.857484502978,116.810300778548,124.308780883523,116.691758634579,116.723455651447,122.255768495262,136.725864759786,144.619992259801,130.081270291574,142.29738903681,147.446875725766,144.207791384586,157.400789788455,147.838211483904,145.477456966157,,,,
          Campeche,143.502393811257,143.506734352936,147.533596296508,146.532303444564,145.268756976316,144.278046744469,146.809553778307,148.510660414623,148.160974072799,146.939808752549,143.371337892551,147.365900423223,142.49740916947,142.860359838666,144.023751830977,145.176351188301,144.054019195481,140.371588406162,133.039195020952,140.660288452724,134.053673011209,134.841137984166,129.694357700797,127.049501648863,131.409667586259,124.378649651587,120.329309254221,119.039788120379,117.322281632512,120.267507164675,112.780291457735,107.919236150226,106.971038916554,105.430856508592,108.275355758277,105.798021798458,105.121587472851,104.032158987251,103.289363520727,104.560282944822,102.822863784642,100.943133334816,98.2232163491984,101.016688960577,100.751475607308,98.3655966339587,97.9328724599146,99.4355159022911,100.772384913255,99.1265924773549,99.8464026678872,99.8105163676186,100.184082890304,100.15899807419,100,98.0900975311264,95.3223640569271,93.371810189137,94.457056500049,95.3103320693099,92.5144967766253,86.6963737344234,88.0116416267445,87.0995091618319,88.5805053249063,87.2561161537085,82.6609380672675,82.742386556206,80.7639010943476,83.3558354678824,78.4543462755437,75.8198113196492,71.3103527817356,72.9953574950058,74.6449669679836,74.7093788508567,74.1951677328845,74.6038621931853,72.4715346452496,73.994985855544,73.0400185123785,,,,
          Coahuila de Zaragoza,79.0083089022364,79.7790121549413,81.5478817399462,84.1299405300491,81.1162858317932,81.8674413686043,83.2131961108762,83.610368349299,85.1165384906034,83.4518860798457,81.1995362073102,85.7031913467421,85.8297897224558,88.3020065397906,85.2586309540747,86.9999000924746,90.9679482701372,89.6259993594068,89.509055272459,89.2757257486194,86.6672085290581,94.0982406125558,94.5912913628501,96.6032442368561,92.98999618533,92.2185655209713,95.0281029850352,92.037537062244,91.0764827599706,92.5901720820553,74.4644876576891,74.7940221716385,79.0951440486798,84.7805106417749,78.2835411299456,85.074202362631,91.8358735685517,92.9121874097554,94.3140536362258,91.034079244291,94.2439539377189,96.8406706217198,97.9571573812733,99.8101854214342,97.2129918405365,100.038104038842,104.312067942327,103.042241823089,101.039150281141,102.10789102135,95.7181302454059,100.147124304899,101.051763959918,103.082981489777,100,100.867499523598,105.235046229776,106.023161331325,108.400106188757,105.131453318364,102.348600303884,106.388696706094,108.87614951752,108.876792413709,106.622559735302,105.843901181374,107.813526537943,108.043476726713,111.48442431704,108.296332190768,110.339955039929,115.066707072875,113.690984629414,116.107094831979,113.801185393549,112.790412083339,117.057639889514,114.378703584568,115.756847102621,114.995900665011,113.698921614964,,,,
          Colima,69.6376164200562,74.9987218008934,75.6288026107857,76.0862851748752,74.0878565016526,71.5268759526022,72.9749422669151,75.2981762685149,76.8188460021452,74.1547101225443,71.1054600941015,74.8708656960139,76.0835056690921,76.5896706647891,74.6623755309991,77.4670652120099,79.8086907337966,79.3614602965999,80.7193462323254,79.3391406186829,88.2794569573998,86.1406640642252,82.0323533409609,82.7481209792781,84.800148835466,86.5815568592866,86.0774284414089,86.8232058742453,85.9634605181339,86.3614129232687,81.7201201044068,82.439550358383,83.4127913212188,86.9051412662695,83.6194007625695,87.3912366034812,87.6071309968467,88.4920916908086,95.2493501585299,89.6849523624166,93.7350330078801,97.0236133062335,97.4249173648231,96.6014544581238,96.1962545342652,95.1368548977996,100.937781070362,98.3017301779264,101.763930510487,99.0350741641438,97.08832745122,101.721812992289,99.0598032036337,102.130056352857,100,102.797604731511,101.914007811334,100.218648664376,105.068296775694,102.499639495729,102.119591415603,101.563799483619,103.014168154572,110.5205388676,104.304524480349,106.85990864672,107.496910192695,110.855993384304,117.569589261568,110.695600371322,111.051040399566,112.803500264815,115.391204212242,123.419848921133,115.666398449439,113.731574039647,116.796887761206,117.910151867658,120.79160843612,117.307555526158,116.925571847691,,,,
