,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North America,22.99389,22.52281,21.24996,20.11535,21.44691,20.94839,19.67609,20.72203,21.77161,22.98727,23.03305,23.52853,24.41776,25.04986,25.7016,26.7644,27.29952,27.4347,27.05817,27.42491,28.3463,27.45426,28.42206,28.04075,28.02332,27.75657,27.90121,29.29893,29.45917,28.76674,29.84017
Canada,1.91491,1.86417,1.90217,1.90034,2.05577,2.20417,2.16031,2.14368,2.37063,2.46086,2.41091,2.43649,2.63982,2.73646,2.83341,2.9328,2.98429,2.95366,2.86465,3.17902,3.05118,3.19009,3.24322,3.45726,3.4245,3.49574,3.39607,3.5194,3.50256,3.20843,3.02674
Mexico,0.84352,0.91133,0.99157,0.99417,0.99753,1.04073,0.92441,0.93855,0.95259,0.92472,1.01898,1.05908,1.06431,1.0845,1.14013,1.16046,1.23059,1.25833,1.36329,1.33666,1.4709,1.49161,1.62042,1.75285,1.68968,1.69941,2.28124,2.07754,2.16548,2.14732,2.14732
United States,20.23546,19.74731,18.35622,17.22084,18.39361,17.70348,16.59136,17.6398,18.44839,19.60169,19.60317,20.03296,20.71363,21.2289,21.72807,22.67114,23.08465,23.22272,22.83023,22.90923,23.82422,22.77256,23.55842,22.83064,22.90914,22.56142,22.2239,23.70199,23.79113,23.411,24.66611
Central & South America,1.38977,1.48129,1.58054,1.57959,1.88437,1.94045,1.97207,1.88586,2.01877,2.30458,2.20169,2.35601,2.33762,2.49707,2.65086,2.80192,3.00298,3.17318,3.39571,3.32456,3.56844,3.83434,3.7813,3.95009,4.37171,4.49244,4.82154,4.63877,4.9277,4.64677,5.17488
Argentina,0.36833,0.37141,0.46786,0.46067,0.58687,0.59303,0.64125,0.62042,0.73155,0.82176,0.73517,0.81595,0.82259,0.87057,0.89493,0.99604,1.05583,1.05325,1.12595,1.19422,1.22559,1.15215,1.11709,1.27615,1.39904,1.4924,1.54112,1.62083,1.63891,1.59205,1.59758
Barbados,0.00037,0.00037,0.00037,0.00042,0.00042,0.00042,0.00042,0.00037,0.00097,0.00105,0.00105,0.00083,0.0008,0.00112,0.00082,0.00097,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108
Bolivia,0.01306,0.01959,0.012,0.015,0.014,0.011,0.014,0.01367,0.01942,0.02614,0.03,0.026,0.032,0.03002,0.03496,0.045,0.03875,0.04945,0.03211,0.03321,0.0465,0.03026,0.03764,0.08267,0.07897,0.07787,0.08857,0.09263,0.10595,0.10444,0.10038
Brazil,0.05662,0.05662,0.05092,0.0631,0.08192,0.10184,0.09963,0.11602,0.1079,0.13565,0.11398,0.13966,0.15299,0.15184,0.15829,0.16564,0.18547,0.20274,0.21302,0.2402,0.34671,0.41208,0.49178,0.51933,0.63245,0.6835,0.71031,0.72941,0.86861,0.68754,0.92554
Chile,0.085,0.085,0.049,0.046,0.048,0.044,0.026,0.02578,0.03532,0.05686,0.066,0.052,0.05444,0.0618,0.06851,0.0671,0.06712,0.10383,0.11977,0.1702,0.19319,0.23509,0.23857,0.29303,0.30711,0.31637,0.27858,0.15337,0.09721,0.09774,0.1972
Colombia,0.1188,0.1272,0.1272,0.1224,0.1716,0.1728,0.1728,0.13006,0.13582,0.13549,0.14028,0.144,0.14009,0.14585,0.15092,0.14927,0.15551,0.19586,0.20538,0.16994,0.187,0.1998,0.2021,0.1998,0.20275,0.21883,0.23687,0.24737,0.24606,0.2851,0.29789
Cuba,0.00062,0.00032,0.00032,0.00028,0.00013,0.00025,0.00021,0.00082,0.00074,0.00115,0.00119,0.00124,0.00128,0.00131,0.00128,0.00152,0.00159,0.02773,0.01479,0.01849,0.02218,0.01109,0.01294,0.01368,0.01368,0.01479,0.01479,0.02218,0.04289,0.04289,0.04252
Ecuador,0.0039,0.0026,0.0026,0.0039,0.0052,0.0052,0.0039,0.00252,0.00367,0.00367,0.0052,0.00419,0.00459,0.00459,0.00459,0.00551,0.00551,0.00459,0.00459,0.00459,0.00643,0.00735,0.00459,0.00689,0.0078,0.01194,0.01285,0.01263,0.01194,0.01359,0.01515
Peru,0.04268,0.05228,0.04908,0.04908,0.04908,0.05015,0.05228,0.04396,0.04101,0.03774,0.01765,0.01706,0.0166,0.03149,0.03215,0.03051,0.03182,0.00787,0.01345,0.01345,0.01115,0.01214,0.01444,0.01706,0.02821,0.05184,0.0584,0.0876,0.11975,0.14779,0.23041
Trinidad and Tobago,0.08465,0.08465,0.10659,0.13272,0.20064,0.22572,0.15884,0.14976,0.1609,0.16976,0.18497,0.21005,0.20297,0.22781,0.26092,0.2801,0.31627,0.34321,0.34321,0.35207,0.37015,0.4148,0.44211,0.47348,0.52219,0.60043,0.7451,0.74731,0.80968,0.77351,0.81484
Venezuela,0.61575,0.68125,0.7146,0.68602,0.72651,0.73604,0.80273,0.78249,0.78147,0.91531,0.90621,0.94503,0.90926,0.97067,1.04351,1.06025,1.14404,1.18357,1.32237,1.12637,1.14404,1.33373,1.19493,1.02627,1.14404,0.98606,1.09356,0.87607,0.93584,0.85088,0.89058
Europe,10.64285,10.51413,10.55325,10.78758,11.33933,11.66896,12.01085,12.5675,12.29342,12.92807,13.02775,13.58082,13.26477,13.82736,13.95807,15.34564,16.54943,16.29654,16.61208,17.32697,17.81971,18.41606,18.63812,19.69939,20.40132,20.81978,20.79065,20.60628,21.03933,19.87395,21.15327
Albania,0.01047,0.01109,0.01047,0.0111,0.01131,0.01047,0.01466,0.01665,0.02589,0.02589,0.00943,0.00522,0.00376,0.00111,0.00111,0.00111,0.00111,0.00074,0.00111,0.00074,0.00111,0.00111,0.00111,0.00111,0.00111,0.00111,0.00111,0.00037,0.00111,0.00111,0.00111
Austria,0.18487,0.17273,0.16718,0.17055,0.18904,0.20285,0.19638,0.20516,0.1954,0.20943,0.23091,0.24168,0.23733,0.25032,0.25764,0.27855,0.29923,0.28838,0.29608,0.30107,0.28755,0.30451,0.30795,0.33298,0.32902,0.36074,0.32868,0.30762,0.32933,0.31587,0.36213
Belgium,0.39502,0.36335,0.29983,0.31623,0.32623,0.32559,0.29009,0.32345,0.318,0.35376,0.36275,0.38512,0.39691,0.41654,0.42589,0.47116,0.5247,0.50052,0.55122,0.58687,0.58985,0.58232,0.60015,0.63938,0.65156,0.64051,0.65927,0.6642,0.65969,0.66616,0.76285
Bulgaria,0.16992,0.1567,0.16992,0.1737,0.17086,0.20674,0.21218,0.21062,0.20847,0.21013,0.22726,0.198,0.18414,0.17026,0.16642,0.20607,0.21707,0.18043,0.13409,0.11865,0.19224,0.20435,0.16723,0.18963,0.18608,0.18956,0.19658,0.1176,0.11268,0.07274,0.07625
Denmark,0,0,0,0.00222,0.00741,0.02931,0.04955,0.06346,0.07016,0.07485,0.0795,0.08954,0.09421,0.1068,0.1184,0.13961,0.1621,0.18508,0.19095,0.2021,0.20643,0.20412,0.20404,0.20649,0.20554,0.19743,0.20118,0.17968,0.18137,0.17404,0.19479
Finland,0.03251,0.02685,0.02409,0.02351,0.02803,0.0357,0.04377,0.058,0.06215,0.08187,0.09643,0.1015,0.10542,0.10911,0.12094,0.12496,0.1308,0.12861,0.14711,0.14711,0.15051,0.16313,0.16234,0.17962,0.17349,0.15897,0.17073,0.16395,0.1698,0.15362,0.16872
France,0.9301,0.96246,0.931,0.97381,1.03164,1.0634,1.07456,1.08991,1.05268,1.07038,1.08773,1.23192,1.24621,1.25571,1.24951,1.27498,1.40763,1.39625,1.42975,1.50156,1.57677,1.65326,1.69464,1.66336,1.76562,1.88129,1.92473,1.79043,1.87709,1.79536,1.83153
Germany,--,--,--,--,--,--,--,--,--,--,--,2.47897,2.44633,2.53269,2.65375,3.05739,3.06153,2.93357,3.04852,3.07851,3.04235,3.1811,3.15959,3.52304,3.49017,3.43319,3.48127,3.37976,3.44328,3.29233,3.4303
"Germany, East",0.19227,0.19422,0.1911,0.19344,0.22932,0.2262,0.23478,0.21645,0.23478,0.22932,0.13923,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",1.88966,1.78932,1.63747,1.68809,1.77245,1.74581,1.76978,1.93406,1.87723,1.99534,2.05297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Greece,0,0,0.0032,0.00305,0.00335,0.00288,0.00431,0.00432,0.00577,0.00577,0.00561,0.00588,0.00578,0.00411,0.00209,0.00189,0.00215,0.00755,0.03199,0.05377,0.07515,0.07423,0.07947,0.08936,0.09848,0.10388,0.12106,0.14702,0.15574,0.12957,0.14084
Hungary,0.35132,0.35924,0.37523,0.374,0.38079,0.38864,0.41231,0.40935,0.40507,0.41276,0.39203,0.38946,0.34194,0.36823,0.37198,0.40466,0.45117,0.42826,0.43097,0.43667,0.42456,0.47213,0.47345,0.5199,0.51241,0.53336,0.50656,0.47177,0.46597,0.40339,0.42945
Ireland,0.03232,0.04949,0.07373,0.07784,0.08274,0.08752,0.05935,0.05954,0.07169,0.0808,0.08266,0.08476,0.08374,0.09504,0.09671,0.10299,0.11681,0.12228,0.12363,0.13212,0.1515,0.15796,0.16143,0.16218,0.16528,0.15754,0.17819,0.19266,0.1953,0.19362,0.21268
Italy,0.99437,0.96416,0.96041,0.98752,1.16322,1.18206,1.24952,1.38765,1.50408,1.62392,1.72255,1.83003,1.81312,1.84962,1.78659,1.96863,2.03176,2.09466,2.25524,2.4512,2.55582,2.56283,2.54545,2.8064,2.91218,3.11652,3.05214,3.06709,3.06659,2.81879,2.99787
Luxembourg,0.01886,0.01434,0.01207,0.01145,0.01203,0.01309,0.01297,0.01511,0.0162,0.01834,0.0185,0.01969,0.02053,0.02133,0.02152,0.02457,0.02695,0.02763,0.0279,0.02892,0.02957,0.03062,0.04643,0.04694,0.05287,0.05192,0.0544,0.05301,0.04818,0.04907,0.05275
Netherlands,1.33474,1.27037,1.35083,1.29854,1.37712,1.45223,1.44828,1.49477,1.35262,1.3857,1.37229,1.53321,1.49201,1.53214,1.47901,1.52065,1.67519,1.57599,1.56617,1.52428,1.54253,1.58126,1.57987,1.58679,1.61921,1.55661,1.51274,1.47089,1.53379,1.54748,1.73408
