,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0,0.0,2,0.0,0.056443,0.439155,0.003467,0.422915,0.414912,UP
1,0.0,2,0.021277,0.051699,0.415055,0.003467,0.422915,0.414912,UP
2,0.0,2,0.042553,0.051489,0.385004,0.003467,0.422915,0.414912,UP
3,0.0,2,0.06383,0.045485,0.314639,0.003467,0.422915,0.414912,UP
4,0.0,2,0.085106,0.042482,0.251116,0.003467,0.422915,0.414912,DOWN
5,0.0,2,0.106383,0.041161,0.207528,0.003467,0.422915,0.414912,DOWN
6,0.0,2,0.12766,0.041161,0.171824,0.003467,0.422915,0.414912,DOWN
7,0.0,2,0.148936,0.041161,0.152782,0.003467,0.422915,0.414912,DOWN
8,0.0,2,0.170213,0.041161,0.13493,0.003467,0.422915,0.414912,DOWN
9,0.0,2,0.191489,0.041161,0.140583,0.003467,0.422915,0.414912,DOWN
10,0.0,2,0.212766,0.044374,0.168997,0.003467,0.422915,0.414912,UP
11,0.0,2,0.234043,0.049868,0.212437,0.003467,0.422915,0.414912,UP
12,0.0,2,0.255319,0.051489,0.298721,0.003467,0.422915,0.414912,UP
13,0.0,2,0.276596,0.042482,0.39036,0.003467,0.422915,0.414912,DOWN
14,0.0,2,0.297872,0.040861,0.402261,0.003467,0.422915,0.414912,DOWN
15,0.0,2,0.319149,0.040711,0.462214,0.003467,0.422915,0.414912,DOWN
16,0.0,2,0.340426,0.040861,0.488248,0.003467,0.422915,0.414912,DOWN
17,0.0,2,0.361702,0.040711,0.493306,0.003467,0.422915,0.414912,DOWN
18,0.0,2,0.382979,0.041041,0.53258,0.003467,0.422915,0.414912,DOWN
19,0.0,2,0.404255,0.041161,0.546415,0.003467,0.422915,0.414912,DOWN
20,0.0,2,0.425532,0.044374,0.53496,0.003467,0.422915,0.414912,UP
21,0.0,2,0.446809,0.044374,0.51681,0.003467,0.422915,0.414912,UP
22,0.0,2,0.468085,0.044374,0.513984,0.003467,0.422915,0.414912,UP
23,0.0,2,0.489362,0.045485,0.513835,0.003467,0.422915,0.414912,UP
24,0.0,2,0.510638,0.044374,0.505356,0.003467,0.422915,0.414912,UP
25,0.0,2,0.531915,0.044374,0.497917,0.003467,0.422915,0.414912,UP
26,0.0,2,0.553191,0.042482,0.499554,0.003467,0.422915,0.414912,DOWN
27,0.0,2,0.574468,0.044374,0.491669,0.003467,0.422915,0.414912,UP
28,0.0,2,0.595745,0.044374,0.489735,0.003467,0.422915,0.414912,UP
29,0.0,2,0.617021,0.042482,0.47709,0.003467,0.422915,0.414912,DOWN
30,0.0,2,0.638298,0.040861,0.466825,0.003467,0.422915,0.414912,DOWN
31,0.0,2,0.659574,0.041161,0.478132,0.003467,0.422915,0.414912,DOWN
32,0.0,2,0.680851,0.041161,0.484975,0.003467,0.422915,0.414912,DOWN
33,0.0,2,0.702128,0.041161,0.503124,0.003467,0.422915,0.414912,DOWN
34,0.0,2,0.723404,0.042482,0.55296,0.003467,0.422915,0.414912,DOWN
35,0.0,2,0.744681,0.044374,0.612318,0.003467,0.422915,0.414912,UP
36,0.0,2,0.765957,0.041041,0.587623,0.003467,0.422915,0.414912,DOWN
37,0.0,2,0.787234,0.040711,0.546861,0.003467,0.422915,0.414912,DOWN
38,0.0,2,0.808511,0.040711,0.497025,0.003467,0.422915,0.414912,DOWN
39,0.0,2,0.829787,0.040861,0.470693,0.003467,0.422915,0.414912,DOWN
40,0.0,2,0.851064,0.041041,0.446296,0.003467,0.422915,0.414912,DOWN
41,0.0,2,0.87234,0.042482,0.412229,0.003467,0.422915,0.414912,DOWN
42,0.0,2,0.893617,0.041161,0.368789,0.003467,0.422915,0.414912,DOWN
43,0.0,2,0.914894,0.051489,0.34573,0.003467,0.422915,0.414912,UP
44,0.0,2,0.93617,0.056443,0.40479,0.003467,0.422915,0.414912,UP
45,0.0,2,0.957447,0.054642,0.42889,0.003467,0.422915,0.414912,UP
46,0.0,2,0.978723,0.059235,0.445254,0.003467,0.422915,0.414912,UP
47,0.0,2,1.0,0.054642,0.44094,0.003467,0.422915,0.414912,UP
48,4.4e-05,3,0.0,0.059235,0.442874,0.003467,0.422915,0.414912,UP
