id	gender	bdate	educ	jobcat	salary	salbegin	jobtime	prevexp	minority	jobcat_name
1	m	2/3/1952	15	3	57000	27000	98	144	0	Manager
2	m	5/23/1958	16	1	40200	18750	98	36	0	Clerical
3	f	7/26/1929	12	1	21450	12000	98	381	0	Clerical
4	f	4/15/1947	8	1	21900	13200	98	190	0	Clerical
5	m	2/9/1955	15	1	45000	21000	98	138	0	Clerical
6	m	8/22/1958	15	1	32100	13500	98	67	0	Clerical
7	m	4/26/1956	15	1	36000	18750	98	114	0	Clerical
8	f	5/6/1966	12	1	21900	9750	98	0	0	Clerical
9	f	1/23/1946	15	1	27900	12750	98	115	0	Clerical
10	f	2/13/1946	12	1	24000	13500	98	244	0	Clerical
11	f	2/7/1950	16	1	30300	16500	98	143	0	Clerical
12	m	1/11/1966	8	1	28350	12000	98	26	1	Clerical
13	m	7/17/1960	15	1	27750	14250	98	34	1	Clerical
14	f	2/26/1949	15	1	35100	16800	98	137	1	Clerical
15	m	8/29/1962	12	1	27300	13500	97	66	0	Clerical
16	m	11/17/1964	12	1	40800	15000	97	24	0	Clerical
17	m	7/18/1962	15	1	46000	14250	97	48	0	Clerical
18	m	3/20/1956	16	3	103750	27510	97	70	0	Manager
19	m	8/19/1962	12	1	42300	14250	97	103	0	Clerical
20	f	1/23/1940	12	1	26250	11550	97	48	0	Clerical
21	f	2/19/1963	16	1	38850	15000	97	17	0	Clerical
22	m	9/24/1940	12	1	21750	12750	97	315	1	Clerical
23	f	3/15/1965	15	1	24000	11100	97	75	1	Clerical
24	f	3/27/1933	12	1	16950	9000	97	124	1	Clerical
25	f	7/1/1942	15	1	21150	9000	97	171	1	Clerical
26	m	11/8/1966	15	1	31050	12600	96	14	0	Clerical
27	m	3/19/1954	19	3	60375	27480	96	96	0	Manager
28	m	4/11/1963	15	1	32550	14250	96	43	0	Clerical
29	m	1/28/1944	19	3	135000	79980	96	199	0	Manager
30	m	9/17/1961	15	1	31200	14250	96	54	0	Clerical
31	m	2/24/1964	12	1	36150	14250	96	83	0	Clerical
32	m	1/28/1954	19	3	110625	45000	96	120	0	Manager
