Sexo,Peso,Altura
Hombre,109,187
Hombre,73,174
Hombre,96,188
Hombre,99,182
Hombre,93,177
Hombre,69,170
Hombre,83,174
Hombre,76,173
Hombre,79,170
Hombre,70,161
Hombre,84,180
Hombre,96,181
Hombre,75,164
Hombre,85,175
Hombre,84,175
Hombre,78,171
Hombre,88,183
Hombre,78,162
Hombre,84,176
Hombre,82,172
Hombre,78,172
Hombre,89,176
Hombre,67,168
Hombre,103,191
Hombre,73,172
Hombre,87,173
Hombre,83,175
Hombre,93,184
Hombre,79,171
Hombre,70,173
Hombre,85,174
Hombre,96,188
Hombre,88,181
Hombre,93,175
Hombre,92,176
Hombre,87,178
Hombre,89,175
Hombre,83,170
Hombre,74,167
Hombre,73,163
Hombre,78,172
Hombre,88,183
Hombre,76,165
Hombre,73,167
Hombre,74,171
Hombre,85,178
Hombre,84,173
Hombre,94,183
Hombre,87,175
Hombre,95,185
Hombre,75,164
Hombre,91,178
Hombre,78,173
Hombre,82,171
Hombre,76,170
Hombre,74,168
Hombre,86,173
Hombre,87,179
Hombre,89,180
Hombre,95,177
Hombre,90,181
Hombre,89,176
Hombre,88,187
Hombre,74,170
Hombre,81,181
Hombre,70,165
Hombre,83,173
Hombre,100,184
Hombre,83,172
Hombre,89,174
Hombre,83,175
Hombre,94,179
Hombre,80,176
Hombre,73,171
Hombre,98,184
Hombre,92,180
Hombre,91,182
Hombre,100,183
Hombre,89,168
Hombre,76,167
Hombre,82,171
Hombre,90,173
Hombre,107,187
Hombre,78,177
Hombre,72,167
Hombre,85,180
Hombre,94,169
Hombre,87,175
Hombre,78,173
Hombre,89,183
Hombre,91,182
Hombre,82,165
Hombre,82,179
Hombre,80,164
Hombre,74,170
Hombre,75,165
Hombre,87,182
Hombre,81,169
Hombre,78,168
Hombre,80,176
Hombre,91,177
Hombre,76,169
Hombre,70,168
Hombre,80,173
Hombre,83,177
Hombre,81,174
Hombre,71,171
Hombre,75,168
Hombre,78,175
Hombre,79,171
Hombre,85,176
Hombre,91,173
Hombre,92,181
Hombre,81,175
Hombre,74,170
Hombre,101,187
Hombre,92,176
Hombre,85,173
Hombre,80,172
Hombre,101,182
Hombre,75,161
Hombre,81,174
Hombre,74,170
Hombre,68,159
Hombre,87,183
Hombre,91,180
Hombre,81,171
Hombre,89,179
Hombre,85,176
Hombre,77,168
Hombre,86,171
Hombre,75,167
Hombre,84,181
Hombre,80,173
Hombre,68,162
Hombre,95,180
Hombre,78,173
Hombre,81,173
Hombre,76,172
Hombre,83,173
Hombre,76,174
Hombre,78,168
Hombre,82,168
Hombre,83,171
Hombre,93,176
Hombre,83,179
Hombre,91,181
Hombre,98,180
Hombre,72,168
Hombre,95,184
Hombre,81,171
Hombre,66,165
Hombre,88,179
Hombre,77,177
Hombre,76,164
Hombre,89,176
Hombre,81,174
Hombre,66,157
Hombre,80,174
Hombre,84,165
Hombre,80,163
Hombre,77,174
Hombre,90,184
Hombre,92,170
Hombre,87,170
Hombre,80,165
Hombre,73,168
Hombre,72,171
Hombre,78,166
Hombre,91,177
Hombre,77,173
Hombre,93,183
Hombre,77,173
Hombre,90,182
Hombre,81,167
Hombre,76,169
Hombre,80,171
Hombre,87,173
Hombre,73,164
Hombre,83,171
Hombre,82,173
Hombre,95,176
Hombre,75,168
Hombre,88,169
Hombre,91,182
Hombre,77,173
Hombre,91,177
Hombre,87,182
Hombre,81,167
Hombre,70,170
Hombre,106,194
Hombre,104,184
Hombre,92,177
Hombre,98,184
Hombre,101,184
Hombre,94,183
Hombre,82,170
Hombre,105,192
Hombre,77,168
Hombre,85,180
Hombre,88,180
Hombre,97,183
Hombre,101,190
Hombre,71,163
Hombre,75,164
Hombre,72,161
Hombre,79,172
Hombre,79,167
Hombre,87,180
Hombre,84,171
Hombre,78,174
Hombre,87,178
Hombre,94,183
Hombre,93,179
Hombre,78,167
Hombre,105,189
Hombre,80,171
Hombre,79,170
Hombre,96,182
Hombre,75,164
Hombre,89,173
Hombre,75,169
Hombre,80,169
Hombre,79,172
Hombre,88,175
Hombre,93,178
Hombre,71,164
Hombre,76,172
Hombre,61,161
Hombre,98,182
Hombre,70,169
Hombre,91,182
Hombre,107,193
Hombre,88,181
Hombre,80,171
Hombre,90,179
Hombre,84,177
Hombre,80,172
Hombre,97,188
Hombre,84,175
Hombre,77,169
Hombre,78,169
Hombre,76,170
Hombre,74,175
Hombre,86,179
Hombre,71,166
Hombre,78,165
Hombre,76,171
Hombre,104,187
Hombre,94,181
Hombre,78,172
Hombre,90,173
Hombre,76,167
Hombre,89,181
Hombre,89,175
Hombre,81,174
Hombre,85,180
Hombre,71,161
Hombre,94,180
Hombre,84,167
Hombre,71,165
Hombre,82,172
Hombre,92,180
Hombre,104,188
Hombre,84,176
Hombre,82,164
Hombre,90,173
Hombre,92,180
Hombre,73,156
Hombre,86,173
Hombre,90,183
Hombre,100,184
Hombre,97,180
Hombre,91,183
Hombre,84,171
Hombre,89,183
Hombre,68,159
Hombre,75,168
Hombre,90,176
Hombre,81,175
Hombre,87,179
Hombre,89,174
Hombre,83,167
Hombre,70,168
Hombre,73,169
Hombre,85,172
Hombre,78,179
Hombre,88,175
Hombre,97,179
Hombre,75,165
Hombre,108,189
Hombre,83,180
Hombre,90,176
Hombre,86,177
Hombre,76,163
Hombre,88,172
Hombre,83,171
Hombre,95,189
Hombre,89,181
Hombre,78,170
Hombre,89,177
Hombre,86,173
Hombre,83,172
Hombre,81,173
Hombre,72,165
Hombre,89,178
Hombre,98,180
Hombre,85,173
Hombre,80,166
Hombre,83,171
Hombre,101,188
Hombre,93,180
Hombre,77,170
Hombre,79,172
Hombre,78,171
Hombre,82,174
Hombre,91,182
Hombre,90,176
Hombre,101,187
Hombre,99,176
Hombre,95,179
Hombre,91,182
Hombre,94,176
Hombre,73,165
Hombre,94,180
Hombre,82,174
Hombre,80,174
Hombre,88,176
Hombre,73,167
Hombre,78,174
Hombre,97,187
Hombre,95,180
Hombre,83,169
Hombre,85,182
Hombre,85,177
Hombre,81,169
Hombre,96,177
Hombre,89,178
Hombre,84,175
Hombre,75,164
Hombre,85,180
Hombre,73,163
Hombre,87,177
Hombre,85,181
Hombre,94,173
Hombre,90,179
Hombre,95,181
Hombre,81,176
Hombre,89,182
Hombre,85,175
Hombre,75,168
Hombre,82,170
Hombre,85,180
Hombre,86,175
Hombre,77,171
Hombre,98,185
Hombre,80,179
Hombre,88,175
Hombre,76,169
Hombre,81,175
Hombre,100,185
Hombre,74,171
Hombre,71,164
Hombre,83,172
Hombre,77,171
Hombre,76,168
Hombre,95,185
Hombre,88,176
Hombre,88,180
Hombre,99,177
Hombre,93,182
Hombre,81,171
Hombre,82,173
Hombre,92,174
Hombre,74,175
Hombre,89,175
Hombre,78,170
Hombre,83,175
Hombre,63,167
Hombre,72,164
Hombre,74,168
Hombre,87,170
Hombre,86,170
Hombre,83,180
Hombre,86,173
Hombre,85,171
Hombre,102,192
Hombre,89,179
Hombre,86,174
Hombre,79,173
Hombre,80,165
Hombre,78,166
Hombre,95,176
Hombre,77,166
Hombre,78,172
Hombre,83,175
Hombre,88,172
Hombre,67,157
Hombre,87,170
Hombre,81,171
Hombre,92,177
Hombre,74,165
Hombre,98,182
Hombre,83,168
Hombre,75,167
Hombre,93,185
Hombre,86,180
Hombre,99,181
Hombre,92,180
Hombre,63,157
Hombre,89,174
Hombre,81,171
Hombre,74,171
Hombre,76,167
Hombre,86,174
Hombre,88,176
Hombre,86,169
Hombre,92,177
Hombre,88,174
Hombre,95,181
Hombre,86,177
Hombre,89,180
Hombre,84,172
Hombre,85,179
Hombre,80,181
Hombre,94,185
Hombre,61,154
Hombre,86,175
Hombre,86,176
Hombre,83,172
Hombre,105,193
Hombre,91,183
Hombre,85,175
Hombre,79,165
Hombre,83,167
Hombre,85,178
Hombre,96,185
Hombre,79,174
Hombre,76,174
Hombre,65,161
Hombre,79,170
Hombre,89,179
Hombre,101,186
Hombre,75,167
Hombre,77,172
Hombre,98,181
Hombre,78,170
Hombre,98,186
Hombre,73,161
Hombre,87,175
Hombre,80,176
Hombre,92,179
Hombre,80,175
Hombre,87,173
Hombre,75,167
Hombre,84,176
Hombre,85,175
Hombre,94,186
Hombre,73,167
Hombre,97,186
Hombre,93,176
Hombre,83,169
Hombre,94,185
Hombre,94,173
Hombre,95,182
Hombre,92,180
Hombre,88,170
Hombre,86,173
Hombre,90,181
Hombre,75,165
Hombre,81,169
Hombre,84,174
Hombre,87,175
Hombre,103,181
Hombre,87,175
Hombre,79,169
Hombre,79,174
Hombre,80,171
Hombre,91,181
Hombre,80,174
Hombre,84,177
Hombre,85,177
Hombre,85,183
Hombre,75,166
Hombre,77,168
Hombre,96,177
Hombre,88,180
Hombre,91,177
Hombre,91,181
Hombre,71,164
