MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,target
8.3252,41,6.98412698412698,1.02380952380952,322,2.55555555555556,37.88,-122.23,4.526
8.3014,21,6.23813708260105,0.971880492091388,2401,2.10984182776801,37.86,-122.22,3.585
7.2574,52,8.28813559322034,1.07344632768362,496,2.80225988700565,37.85,-122.24,3.521
5.6431,52,5.81735159817352,1.07305936073059,558,2.54794520547945,37.85,-122.25,3.413
3.8462,52,6.28185328185328,1.08108108108108,565,2.18146718146718,37.85,-122.25,3.422
4.0368,52,4.76165803108808,1.10362694300518,413,2.139896373057,37.85,-122.25,2.697
3.6591,52,4.93190661478599,0.95136186770428,1094,2.1284046692607,37.84,-122.25,2.992
3.12,52,4.79752704791345,1.06182380216383,1157,1.78825347758887,37.84,-122.25,2.414
2.0804,42,4.29411764705882,1.11764705882353,1206,2.02689075630252,37.84,-122.26,2.267
3.6912,52,4.97058823529412,0.990196078431373,1551,2.17226890756303,37.84,-122.25,2.611
3.2031,52,5.47761194029851,1.07960199004975,910,2.2636815920398,37.85,-122.26,2.815
3.2705,52,4.7724795640327,1.02452316076294,1504,2.04904632152589,37.85,-122.26,2.418
3.075,52,5.32264957264957,1.01282051282051,1098,2.34615384615385,37.85,-122.26,2.135
2.6736,52,4,1.09770114942529,345,1.98275862068966,37.84,-122.26,1.913
1.9167,52,4.26290322580645,1.00967741935484,1212,1.95483870967742,37.85,-122.26,1.592
2.125,50,4.24242424242424,1.0719696969697,697,2.64015151515152,37.85,-122.26,1.4
2.775,52,5.93957703927493,1.04833836858006,793,2.39577039274925,37.85,-122.27,1.525
2.1202,52,4.05280528052805,0.966996699669967,648,2.13861386138614,37.85,-122.27,1.555
1.9911,50,5.3436754176611,1.08591885441527,990,2.36276849642005,37.84,-122.26,1.587
2.6033,52,5.46545454545455,1.08363636363636,690,2.50909090909091,37.84,-122.27,1.629
1.3578,40,4.52409638554217,1.10843373493976,409,2.46385542168675,37.85,-122.27,1.475
1.7135,42,4.47814207650273,1.00273224043716,929,2.53825136612022,37.85,-122.27,1.598
1.725,52,5.09623430962343,1.13179916317992,1015,2.1234309623431,37.84,-122.27,1.139
2.1806,52,5.19384615384615,1.03692307692308,853,2.62461538461539,37.84,-122.27,0.997
2.6,52,5.27014218009479,1.03554502369668,1006,2.38388625592417,37.84,-122.27,1.326
2.4038,41,4.49579831932773,1.03361344537815,317,2.66386554621849,37.85,-122.28,1.075
2.4597,49,4.72803347280335,1.02092050209205,607,2.5397489539749,37.85,-122.28,0.938
1.808,52,4.7808564231738,1.06045340050378,1102,2.77581863979849,37.85,-122.28,1.055
1.6424,50,4.40169133192389,1.04016913319239,1131,2.39112050739958,37.84,-122.28,1.089
1.6875,52,4.70322580645161,1.03225806451613,395,2.54838709677419,37.84,-122.28,1.32
1.9274,49,5.06878306878307,1.18253968253968,863,2.28306878306878,37.84,-122.28,1.223
1.9615,52,4.88208616780045,1.09070294784581,1168,2.64852607709751,37.84,-122.28,1.152
1.7969,48,5.73731343283582,1.22089552238806,1026,3.06268656716418,37.84,-122.27,1.104
1.375,49,5.03039513677812,1.11246200607903,754,2.29179331306991,37.83,-122.27,1.049
2.7303,51,4.97201492537313,1.07089552238806,1258,2.34701492537313,37.83,-122.27,1.097
1.4861,49,4.60227272727273,1.06818181818182,570,2.15909090909091,37.83,-122.27,0.972
1.0972,48,4.80748663101604,1.15508021390374,987,2.63903743315508,37.83,-122.27,1.045
1.4103,52,3.74937965260546,0.967741935483871,901,2.23573200992556,37.83,-122.28,1.039
3.48,52,4.75728155339806,1.06796116504854,689,2.22977346278317,37.83,-122.26,1.914
2.5898,52,3.49425287356322,1.02729885057471,1377,1.97844827586207,37.83,-122.26,1.76
2.0978,52,4.21518987341772,1.06075949367089,946,2.39493670886076,37.83,-122.26,1.554
1.2852,51,3.75903614457831,1.24899598393574,517,2.07630522088353,37.83,-122.26,1.5
1.025,49,3.77248677248677,1.06878306878307,462,2.44444444444445,37.84,-122.26,1.188
3.9643,52,4.7979797979798,1.02020202020202,467,2.35858585858586,37.84,-122.26,1.888
3.0125,52,4.94178082191781,1.06506849315069,660,2.26027397260274,37.83,-122.26,1.844
2.6768,52,4.33507853403141,1.09947643979058,718,1.87958115183246,37.83,-122.26,1.823
2.026,50,3.70065789473684,1.05921052631579,616,2.02631578947368,37.83,-122.26,1.425
1.7348,43,3.9802371541502,1.23320158102767,558,2.20553359683795,37.82,-122.27,1.375
0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26,1.875
