"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Southeast Alabama Medical Center","Dothan","AL","Government","2","Below","Above","Below","Below","Same","Above","Same","23394","Average","Average","17041","Average","Average","18281","Average","Average","25812","Average","Higher"
"Marshall Medical Center South","Boaz","AL","Government","1","Below","Below","Below","Same","Above","Above","Below","22579","Average","Average","15819","Worse","Average","15614","Worse","Lower","22747","Average","Average"
"Eliza Coffee Memorial Hospital","Florence","AL","Government","3","Below","Above","Above","Below","Same","Above","Below","24002","Average","Average","16334","Average","Average","17371","Average","Average","24491","Average","Higher"
"Mizell Memorial Hospital","Opp","AL","Private","1","Same","Same","Below","Below","Below","Above","None","0","Unknown","Unknown","14541","Average","Lower","15226","Worse","Lower","23472","Average","Average"
"Crenshaw Community Hospital","Luverne","AL","Proprietary","4","Same","None","Above","None","Same","Above","None","0","Unknown","Unknown","13767","Average","Lower","14341","Average","Lower","0","Unknown","Unknown"
"St Vincent's East","Birmingham","AL","Private","2","Same","Below","Below","Below","Below","Below","Same","23940","Average","Average","16132","Average","Average","17848","Average","Average","23792","Average","Higher"
"Dekalb Regional Medical Center","Fort Payne","AL","Proprietary","2","Below","Above","Below","Below","Same","Above","Same","23853","Average","Average","15761","Average","Average","17896","Worse","Average","0","Unknown","Unknown"
"Shelby Baptist Medical Center","Alabaster","AL","Private","2","Same","Below","Above","Below","Same","Same","Below","24008","Average","Average","17937","Average","Higher","18858","Average","Higher","22367","Average","Average"
"Callahan Eye Hospital","Birmingham","AL","Private","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Helen Keller Memorial Hospital","Sheffield","AL","Government","3","Same","Above","Below","Same","Same","Above","Below","22948","Average","Average","17311","Average","Average","17516","Average","Average","23130","Average","Higher"
"Dale Medical Center","Ozark","AL","Government","3","Same","None","Same","Above","Same","Above","Same","0","Unknown","Unknown","17651","Average","Average","17581","Average","Average","0","Unknown","Unknown"
"Floyd Cherokee Medical Center","Centre","AL","Private","4","Same","None","Above","Above","Same","Same","None","0","Unknown","Unknown","17098","Average","Average","13812","Average","Lower","0","Unknown","Unknown"
"Baptist Medical Center South","Montgomery","AL","Government","2","Below","Above","Below","Below","Same","Below","Same","23467","Average","Average","16826","Average","Average","19776","Average","Higher","20867","Average","Lower"
"Jackson Hospital & Clinic Inc","Montgomery","AL","Private","2","Below","Below","Above","Same","Same","Below","Below","25850","Average","Higher","16463","Average","Average","17710","Worse","Average","21867","Average","Average"
"East Alabama Medical Center","Opelika","AL","Government","4","Below","Above","Above","Above","Same","Above","Same","23682","Worse","Average","14465","Average","Lower","16309","Average","Lower","21050","Average","Lower"
"Tanner Medical Center-east Alabama","Wedowee","AL","Government","3","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","19690","Average","Higher","14957","Average","Average","0","Unknown","Unknown"
"University Of Alabama Hospital","Birmingham","AL","Government","2","Above","Below","Below","Above","Same","Below","Below","21355","Average","Lower","15763","Better","Lower","18019","Better","Average","24648","Average","Higher"
"Community Hospital Inc","Tallassee","AL","Private","3","Same","None","Above","Below","Same","Same","Same","0","Unknown","Unknown","15013","Average","Average","16522","Average","Average","0","Unknown","Unknown"
"Cullman Regional Medical Center","Cullman","AL","Government","2","Below","Below","Below","Below","Same","Above","Same","23153","Average","Average","16272","Average","Average","17412","Worse","Average","21359","Average","Average"
"Andalusia Health","Andalusia","AL","Proprietary","4","Same","Above","Above","Below","Same","Above","Same","22544","Average","Average","14805","Average","Lower","16213","Average","Lower","21991","Average","Average"
"Stringfellow Memorial Hospital","Anniston","AL","Proprietary","3","Same","Above","Below","Below","Same","Same","Same","23828","Average","Average","16970","Average","Average","16430","Average","Average","24326","Average","Higher"
"Huntsville Hospital","Huntsville","AL","Government","2","Below","Above","Below","Above","Same","Below","Below","22856","Average","Average","16354","Average","Average","16944","Worse","Average","20481","Average","Lower"
"Gadsden Regional Medical Center","Gadsden","AL","Proprietary","2","Same","Below","Below","Below","Below","Same","Below","23546","Average","Average","18316","Average","Higher","18481","Average","Higher","24922","Average","Higher"
"Marion Regional Medical Center","Hamilton","AL","Private","5","Same","None","Above","Same","Same","Above","Same","0","Unknown","Unknown","15443","Average","Average","15495","Average","Lower","0","Unknown","Unknown"
"Fayette Medical Center","Fayette","AL","Unknown","5","Same","None","Above","Above","Same","Same","Same","0","Unknown","Unknown","15135","Average","Average","14739","Average","Lower","0","Unknown","Unknown"
"Riverview Regional Medical Center","Gadsden","AL","Proprietary","4","Above","Above","Below","Below","Same","Above","Same","24160","Average","Average","16413","Better","Average","19943","Average","Higher","24074","Average","Higher"
"Georgiana Medical Center","Georgiana","AL","Proprietary","3","Same","None","Same","None","Same","Above","None","0","Unknown","Unknown","14180","Average","Lower","13727","Average","Lower","0","Unknown","Unknown"
"Medical Center Enterprise","Enterprise","AL","Proprietary","3","Same","Above","Above","Same","Same","Same","Same","0","Unknown","Unknown","15247","Average","Average","16064","Average","Average","22411","Average","Average"
"Greene County Hospital","Eutaw","AL","Government","3","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Lake Martin Community Hospital","Dadeville","AL","Proprietary","4","None","None","Above","Same","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","14323","Average","Lower","0","Unknown","Unknown"
"Flowers Hospital","Dothan","AL","Proprietary","3","Below","Above","Below","Same","Same","Above","Above","21779","Average","Lower","16007","Worse","Average","16796","Average","Average","24056","Average","Higher"
"St Vincent's Birmingham","Birmingham","AL","Private","4","Same","Below","Above","Above","Below","Below","Same","24141","Average","Average","17434","Average","Average","17394","Average","Average","22149","Average","Average"
