D_DPTO,D_PROV,D_DIST,D_DREUGEL,RURAL_PMM,RURAL_PMM_MUJE1,RURAL_PMM_MUJE2,RURAL_PMM_HOME1,RURAL_PMM_HOME2,RURAL_PMMA_MUJE1,RURAL_PMMA_MUJE2,RURAL_PMMA_HOME1,RURAL_PMMA_HOME2,RURAL_PMM_MUJDOC,RURAL_PMM_HOMDOC,RURAL_PMMA_MUJDOC,RURAL_PMMA_HOMDOC,RURAL_CRFA,RURAL_SRE,RURAL_ST,RURAL_CRFA_MUJE1,RURAL_CRFA_MUJE2,RURAL_CRFA_HOME1,RURAL_CRFA_HOME2,RURAL_SRE_MUJE1,RURAL_SRE_MUJE2,RURAL_SRE_HOME1,RURAL_SRE_HOME2,RURAL_MSE_MUJDOC,RURAL_MSE_HOMDOC
Amazonas,BAGUA,ARAMANGO,UGEL BAGUA,39,265,19,270,29,16,23,16,17,25,33,2,3,1,0,0,0,0,0,0,27,0,27,5,2,5
Amazonas,BAGUA,BAGUA,UGEL BAGUA,3,37,6,63,10,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BAGUA,COPALLIN,UGEL BAGUA,15,96,8,126,10,20,25,29,37,13,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BAGUA,IMAZA,UGEL IBIR-IMAZA,1,2,0,3,0,43,45,50,51,1,0,0,0,6,0,0,0,0,0,0,507,27,662,65,22,68
Amazonas,BAGUA,LA PECA,UGEL BAGUA,33,220,14,234,22,0,0,0,0,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,CHISQUILLA,UGEL BONGARÁ,2,10,0,22,1,7,3,12,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,CHURUJA,UGEL BONGARÁ,1,11,2,12,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,COROSHA,UGEL BONGARÁ,2,8,0,5,0,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,CUISPES,UGEL BONGARÁ,2,29,3,22,6,9,12,5,7,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,FLORIDA,UGEL BONGARÁ,9,97,6,91,11,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,JAZAN,UGEL BONGARÁ,9,91,9,73,8,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,JUMBILLA,UGEL BONGARÁ,2,10,0,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,RECTA,UGEL BONGARÁ,1,5,0,3,0,4,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,SAN CARLOS,UGEL BONGARÁ,1,8,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,SHIPASBAMBA,UGEL BONGARÁ,4,31,2,44,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,VALERA,UGEL BONGARÁ,4,29,1,23,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,BONGARA,YAMBRASBAMBA,UGEL BONGARÁ,15,239,14,232,22,48,48,46,46,14,18,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,ASUNCION,UGEL CHACHAPOYAS,3,7,0,10,0,0,2,2,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,BALSAS,UGEL CHACHAPOYAS,8,58,9,52,17,16,23,20,26,3,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,CHACHAPOYAS,UGEL CHACHAPOYAS,8,73,11,135,12,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,CHETO,UGEL CHACHAPOYAS,2,5,0,6,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,CHILIQUIN,UGEL CHACHAPOYAS,5,22,1,18,2,8,1,2,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,CHUQUIBAMBA,UGEL CHACHAPOYAS,11,78,7,91,8,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,GRANADA,UGEL CHACHAPOYAS,3,36,0,35,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,HUANCAS,UGEL CHACHAPOYAS,1,5,1,11,2,5,1,3,10,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,LA JALCA,UGEL CHACHAPOYAS,11,83,7,75,6,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,LEIMEBAMBA,UGEL CHACHAPOYAS,7,53,2,73,10,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,LEVANTO,UGEL CHACHAPOYAS,1,5,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,MARISCAL CASTILLA,UGEL CHACHAPOYAS,5,34,4,39,7,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,MOLINOPAMPA,UGEL CHACHAPOYAS,7,104,10,88,8,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazonas,CHACHAPOYAS,OLLEROS,UGEL CHACHAPOYAS,2,17,0,12,0,9,1,5,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
