,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,26034.0,506846513289,1,546737355975.0,5550821794.0,26200.0,25820.0,-56.7502194132212,-0.21751,-1039520827.3649902,-0.20468,19467806.0,21000000.0,21000000.0,69045.0,-62.2926,2021-11-10T14:24:11.849Z,67.81,38294.59123,2013-07-06T00:00:00.000Z,,2023-08-25T23:23:50.664Z,,,
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,1653.19,198787942142,2,198787942142.0,7126440575.0,1664.66,1636.87,0.0073382,0.00044,72694032.0,0.03658,120216444.295051,120216444.295051,,4878.26,-66.10372,2021-11-10T14:24:19.604Z,0.432979,381800.58017,2015-10-20T00:00:00.000Z,,2023-08-25T23:23:50.478Z,83.90146665558818,btc,8390.146665558817
2,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether.png?1668148663,0.99958,82814303245,3,82814303245.0,15201416868.0,1.002,0.998312,4.198e-05,0.0042,-29906748.02809143,-0.0361,82849133565.976,82849133565.976,,1.32,-24.45143,2018-07-24T00:00:00.000Z,0.572521,74.59265,2015-03-02T00:00:00.000Z,,2023-08-25T23:20:00.476Z,,,
3,binancecoin,bnb,BNB,https://assets.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1644979850,217.98,33537048608,4,43595330584.0,380635107.0,219.05,214.12,0.586504,0.26979,72770629.0,0.21746,153856150.0,153856150.0,200000000.0,686.31,-68.23917,2021-05-10T07:24:17.097Z,0.0398177,547336.61315,2017-10-19T00:00:00.000Z,,2023-08-25T23:23:53.891Z,,,
4,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.524774,27777253138,5,52494900280.0,927932835.0,0.529816,0.508245,0.0075982,1.46917,421067535.0,1.5392,52914193551.0,99988485729.0,100000000000.0,3.4,-84.55323,2018-01-07T00:00:00.000Z,0.00268621,19442.45619,2014-05-22T00:00:00.000Z,,2023-08-25T23:23:54.762Z,,,
5,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,0.999848,25922757566,6,25913278539.0,3090965525.0,1.003,0.997858,-0.000397421377452134,-0.03973,16004592.0,0.06178,25926231254.4633,25916750957.4233,,1.17,-14.73899,2019-05-08T00:40:28.300Z,0.877647,13.92525,2023-03-11T08:02:13.981Z,,2023-08-25T23:23:52.316Z,,,
6,staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,1653.55,13856212211,7,13856212211.0,23211919.0,1661.59,1634.3,0.250921,0.01518,34533575.0,0.24985,8378485.22613287,8378485.22613287,8378485.22613287,4829.57,-65.7572,2021-11-10T14:40:47.256Z,482.9,242.47118,2020-12-22T04:08:21.854Z,,2023-08-25T23:23:57.838Z,,,
7,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,0.260694,9134607872,8,11729408186.0,219126812.0,0.269557,0.259485,-0.004503917818420189,-1.69832,-159653001.77942848,-1.71776,35045020830.3234,45000000000.0,45000000000.0,3.09,-91.55633,2021-09-02T06:00:10.474Z,0.01925275,1253.82614,2020-03-13T02:22:55.044Z,,2023-08-25T23:23:57.596Z,,,
8,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.062982,8865636196,9,8865621707.0,227211190.0,0.063052,0.061847,4.727e-05,0.07511,10749052.0,0.12139,140740116383.705,140739886383.705,,0.731578,-91.38984,2021-05-08T05:08:23.458Z,8.69e-05,72382.50307,2015-05-06T00:00:00.000Z,,2023-08-25T23:23:54.746Z,,,
9,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/solana.png?1640133422,20.33,8295578467,10,11304023957.0,279703639.0,21.03,20.15,-0.6145001718153509,-2.93378,-238921737.59761238,-2.79948,407893267.051047,555818413.539519,,259.96,-92.17666,2021-11-06T21:54:35.825Z,0.500801,3960.99246,2020-05-11T19:35:23.449Z,,2023-08-25T23:23:55.438Z,,,
