,total
text-generation,333757
text-classification,110957
text-to-image,92329
reinforcement-learning,70048
automatic-speech-recognition,28478
token-classification,25761
image-classification,25738
image-text-to-text,20704
feature-extraction,16259
fill-mask,16238
sentence-similarity,14414
robotics,13664
question-answering,13637
any-to-any,11125
translation,8382
object-detection,4488
text-to-speech,4249
audio-classification,3928
text-to-audio,2783
summarization,2628
unconditional-image-generation,2457
image-segmentation,2238
image-to-image,2164
video-classification,2039
image-to-text,1338
zero-shot-image-classification,1139
image-feature-extraction,1021
text-to-video,981
audio-to-audio,940
text-ranking,838
visual-question-answering,620
image-to-video,611
time-series-forecasting,585
tabular-classification,461
zero-shot-classification,449
image-to-3d,422
tabular-regression,281
depth-estimation,281
video-text-to-text,275
document-question-answering,241
keypoint-detection,229
mask-generation,189
table-question-answering,179
audio-text-to-text,176
visual-document-retrieval,130
graph-ml,128
voice-activity-detection,124
text-to-3d,105
zero-shot-object-detection,100
video-to-video,97
image-text-to-image,43
image-text-to-video,17
