DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLISTS INJURED,NUMBER OF CYCLISTS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/10/2016,16:11:00,BROOKLYN,11208.0,40.66251389999999,-73.8720068,"(40.6625139, -73.8720068)",WORTMAN AVENUE,MONTAUK AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,TAXI,PASSENGER VEHICLE,,,
11/10/2016,05:11:00,MANHATTAN,10013.0,40.7213228,-74.0083444,"(40.7213228, -74.0083444)",HUBERT STREET,HUDSON STREET,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/16/2016,09:15:00,BROOKLYN,11201.0,40.6879989,-73.9975625,"(40.6879989, -73.9975625)",HENRY STREET,WARREN STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,VAN,,,
04/15/2016,10:20:00,QUEENS,11375.0,40.7192276,-73.8545422,"(40.7192276, -73.8545422)",,,67-64 FLEET STREET,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/15/2016,10:35:00,BROOKLYN,11210.0,40.6321467,-73.9527315,"(40.6321467, -73.9527315)",BEDFORD AVENUE,CAMPUS ROAD,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,10:50:00,MANHATTAN,10023.0,40.7793641,-73.9773678,"(40.7793641, -73.9773678)",COLUMBUS AVENUE,WEST 75 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,20:11:00,BRONX,10471.0,40.8975679,-73.8969612,"(40.8975679, -73.8969612)",,,6253      BROADWAY,0,0,0,0,,,Failure to Yield Right-of-Way,Unsafe Speed,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,11:30:00,QUEENS,11434.0,40.6596509,-73.7738282,"(40.6596509, -73.7738282)",ROCKAWAY BOULEVARD,FARMERS BOULEVARD,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,12:00:00,BROOKLYN,11238.0,40.6772855,-73.9625453,"(40.6772855, -73.9625453)",GRAND AVENUE,SAINT MARKS AVENUE,,1,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,MOTORCYCLE,,,,
04/15/2016,12:50:00,QUEENS,11411.0,40.7009644,-73.732433,"(40.7009644, -73.732433)",114 ROAD,225 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,20:11:00,STATEN ISLAND,10312.0,40.5342669,-74.15397349999998,"(40.5342669, -74.1539735)",RICHMOND AVENUE,HYLAN BOULEVARD,,1,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
