borough_x,block,lot,sale_price,zip_code,borough_y,yearbuilt,lotarea,bldgarea,resarea,comarea,unitsres,unitstotal,numfloors,latitude,longitude,landuse,bldgclass,building_age
1,400,11,280000,10009.0,MN,1900.0,2404.0,6875.0,6875.0,0.0,18.0,18.0,5.0,40.7244153,-73.9838913,2.0,C6,125.0
1,402,36,2000000,10009.0,MN,1900.0,1919.0,7810.0,6810.0,1000.0,8.0,10.0,5.0,40.7249749,-73.9815353,2.0,C4,125.0
1,402,60,3400000,10009.0,MN,1920.0,2150.0,6152.0,5352.0,800.0,8.0,9.0,5.0,40.7253457,-73.9831118,4.0,C7,105.0
1,404,42,4000000,10009.0,MN,1855.0,2369.0,6990.0,6990.0,0.0,10.0,10.0,5.0,40.7273984,-73.9806001,2.0,C4,170.0
1,372,55,655000,10009.0,MN,1920.0,5298.0,17990.0,17990.0,0.0,20.0,20.0,5.0,40.7206214,-73.9795343,2.0,C6,105.0
1,373,46,470000,10009.0,SI,1944.0,3132.0,2440.0,440.0,2000.0,1.0,2.0,2.0,40.6131374,-74.1258779,4.0,K4,81.0
1,373,46,474000,10009.0,SI,1944.0,3132.0,2440.0,440.0,2000.0,1.0,2.0,2.0,40.6131374,-74.1258779,4.0,K4,81.0
1,374,8,1050000,10009.0,BK,1899.0,1400.0,2700.0,2700.0,0.0,3.0,3.0,3.0,40.6780766,-73.9999603,2.0,C0,126.0
1,375,30,330000,10009.0,MN,1902.0,3082.0,17556.0,17556.0,0.0,19.0,19.0,6.0,40.7226247,-73.9777875,2.0,C6,123.0
1,376,5,425000,10009.0,MN,1900.0,3772.0,15086.0,14086.0,1000.0,22.0,24.0,6.0,40.7237366,-73.9787829,2.0,C6,125.0
1,376,5,375000,10009.0,MN,1900.0,3772.0,15086.0,14086.0,1000.0,22.0,24.0,6.0,40.7237366,-73.9787829,2.0,C6,125.0
1,376,13,2337500,10009.0,MN,1908.0,2065.0,5922.0,5922.0,0.0,5.0,5.0,3.0,40.7235992,-73.9782815,2.0,C6,117.0
1,376,31,154196,10009.0,MN,1920.0,2772.0,13248.0,13248.0,0.0,19.0,19.0,6.0,40.7230912,-73.9770767,2.0,C6,105.0
1,377,62,1164000,10009.0,MN,2001.0,4825.0,9664.0,9664.0,0.0,13.0,13.0,6.0,40.7239038,-73.9778737,2.0,C6,24.0
1,377,67,449000,10009.0,MN,1900.0,2381.0,7986.0,7986.0,0.0,17.0,17.0,6.0,40.7240521,-73.9782236,2.0,C6,125.0
1,387,141,3100000,10009.0,MN,1920.0,3276.0,16747.0,15747.0,1000.0,16.0,18.0,6.0,40.7231713,-73.9798654,2.0,C6,105.0
1,389,17,275000,10009.0,MN,1930.0,2272.0,10698.0,10698.0,0.0,14.0,14.0,6.0,40.7245136,-73.9804458,2.0,C6,95.0
1,389,20,395000,10009.0,MN,1900.0,2271.0,10800.0,10800.0,0.0,21.0,23.0,6.0,40.7244148,-73.9802078,2.0,C6,125.0
1,389,21,650000,10009.0,MN,1900.0,2272.0,10800.0,10100.0,700.0,19.0,20.0,6.0,40.7243818,-73.9801284,2.0,C6,125.0
1,389,30,915000,10009.0,MN,1950.0,2271.0,8720.0,8720.0,0.0,12.0,12.0,5.0,40.7240825,-73.9794178,2.0,C6,75.0
1,389,30,425000,10009.0,MN,1950.0,2271.0,8720.0,8720.0,0.0,12.0,12.0,5.0,40.7240825,-73.9794178,2.0,C6,75.0
1,389,50,685000,10009.0,SI,1950.0,3498.0,928.0,928.0,0.0,1.0,1.0,1.0,40.6239577,-74.1329265,1.0,A2,75.0
1,390,42,575000,10009.0,SI,1920.0,3000.0,1296.0,1296.0,0.0,1.0,1.0,2.0,40.623652,-74.1338733,1.0,A1,105.0
1,390,50,216635,10009.0,MN,1900.0,3900.0,18099.0,18099.0,0.0,29.0,29.0,6.0,40.7247194,-73.9798108,2.0,C6,125.0
1,390,55,565000,10009.0,BK,1931.0,2000.0,1900.0,0.0,1900.0,0.0,1.0,1.0,40.6859401,-73.9919737,5.0,K1,94.0
1,390,55,535000,10009.0,BK,1931.0,2000.0,1900.0,0.0,1900.0,0.0,1.0,1.0,40.6859401,-73.9919737,5.0,K1,94.0
1,391,14,567420,10009.0,MN,1910.0,9750.0,33000.0,29000.0,4000.0,32.0,38.0,5.0,40.725669,-73.9795471,2.0,C6,115.0
1,391,14,603000,10009.0,MN,1910.0,9750.0,33000.0,29000.0,4000.0,32.0,38.0,5.0,40.725669,-73.9795471,2.0,C6,115.0
1,391,48,825000,10009.0,BK,1899.0,2000.0,2425.0,2425.0,0.0,3.0,3.0,3.0,40.6850094,-73.9895833,2.0,C0,126.0
1,391,48,510000,10009.0,BK,1899.0,2000.0,2425.0,2425.0,0.0,3.0,3.0,3.0,40.6850094,-73.9895833,2.0,C0,126.0
1,391,56,880000,10009.0,BK,1974.0,10000.0,20000.0,0.0,20000.0,0.0,3.0,3.0,40.6852565,-73.9902215,8.0,W9,51.0
1,394,52,437500,10009.0,SI,1975.0,3680.0,1932.0,1104.0,0.0,1.0,1.0,1.0,40.6228062,-74.1387887,1.0,A1,50.0
1,396,20,500000,10009.0,BK,1900.0,2000.0,2800.0,2800.0,0.0,4.0,4.0,3.0,40.6858688,-73.9930446,2.0,C3,125.0
1,396,20,560000,10009.0,BK,1900.0,2000.0,2800.0,2800.0,0.0,4.0,4.0,3.0,40.6858688,-73.9930446,2.0,C3,125.0
1,396,20,399000,10009.0,BK,1900.0,2000.0,2800.0,2800.0,0.0,4.0,4.0,3.0,40.6858688,-73.9930446,2.0,C3,125.0
1,396,20,390000,10009.0,BK,1900.0,2000.0,2800.0,2800.0,0.0,4.0,4.0,3.0,40.6858688,-73.9930446,2.0,C3,125.0
1,397,11,340000,10009.0,MN,1900.0,3584.0,12330.0,11130.0,1200.0,20.0,22.0,5.0,40.7226095,-73.9854502,2.0,C6,125.0
1,397,25,515000,10009.0,MN,1915.0,2940.0,13524.0,13524.0,0.0,23.0,23.0,6.0,40.7221592,-73.9843825,2.0,C6,110.0
