major,minor,patch,date,datetime,time,type
0,60,NA,1997-12-04,1997-12-04T08:47:58Z,08:47:58.000000,patch
0,61,NA,1997-12-21,1997-12-21T13:09:22Z,13:09:22.000000,minor
0,61,1,1998-01-10,1998-01-10T00:31:55Z,00:31:55.000000,patch
0,61,2,1998-03-14,1998-03-14T19:25:55Z,19:25:55.000000,patch
0,61,3,1998-05-02,1998-05-02T07:58:17Z,07:58:17.000000,patch
0,62,NA,1998-06-14,1998-06-14T12:56:20Z,12:56:20.000000,minor
0,62,1,1998-06-14,1998-06-14T22:13:25Z,22:13:25.000000,patch
0,62,2,1998-07-10,1998-07-10T11:13:45Z,11:13:45.000000,patch
0,62,3,1998-08-28,1998-08-28T09:02:19Z,09:02:19.000000,patch
0,62,4,1998-10-23,1998-10-23T12:08:41Z,12:08:41.000000,patch
0,63,NA,1998-11-13,1998-11-13T14:37:19Z,14:37:19.000000,minor
0,63,1,1998-12-04,1998-12-04T13:06:28Z,13:06:28.000000,patch
0,63,2,1999-01-11,1999-01-11T12:55:50Z,12:55:50.000000,patch
0,63,3,1999-03-05,1999-03-05T14:27:14Z,14:27:14.000000,patch
0,64,NA,1999-04-07,1999-04-07T13:19:41Z,13:19:41.000000,minor
0,64,1,1999-05-07,1999-05-07T13:25:43Z,13:25:43.000000,patch
0,64,2,1999-07-02,1999-07-02T12:23:15Z,12:23:15.000000,patch
0,65,NA,1999-08-27,1999-08-27T10:29:29Z,10:29:29.000000,minor
0,65,1,1999-10-06,1999-10-06T12:13:04Z,12:13:04.000000,patch
0,90,NA,1999-11-22,1999-11-22T12:25:14Z,12:25:14.000000,minor
0,90,1,1999-12-15,1999-12-15T12:29:07Z,12:29:07.000000,patch
0,99,NA,2000-02-07,2000-02-07T11:24:50Z,11:24:50.000000,minor
1,0,NA,2000-02-29,2000-02-29T08:55:23Z,08:55:23.000000,major
1,0,1,2000-04-14,2000-04-14T08:44:18Z,08:44:18.000000,patch
1,1,NA,2000-06-15,2000-06-15T08:43:21Z,08:43:21.000000,minor
1,1,1,2000-08-15,2000-08-15T08:54:18Z,08:54:18.000000,patch
1,2,NA,2000-12-15,2000-12-15T10:19:25Z,10:19:25.000000,minor
1,2,1,2001-01-15,2001-01-15T10:18:01Z,10:18:01.000000,patch
1,2,2,2001-02-26,2001-02-26T12:43:25Z,12:43:25.000000,patch
1,2,3,2001-04-26,2001-04-26T11:29:47Z,11:29:47.000000,patch
1,3,NA,2001-06-22,2001-06-22T10:41:02Z,10:41:02.000000,minor
1,3,1,2001-08-31,2001-08-31T12:45:52Z,12:45:52.000000,patch
1,4,NA,2001-12-19,2001-12-19T10:14:54Z,10:14:54.000000,minor
1,4,1,2002-01-30,2002-01-30T11:57:35Z,11:57:35.000000,patch
