year.month,year,DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law
1969,1969,107,1687,867,269,9059,0.102971812,12,0
1969.083333,1969,97,1508,825,265,7685,0.102362996,6,0
1969.166667,1969,102,1507,806,319,9963,0.102062491,12,0
1969.25,1969,87,1385,814,407,10955,0.100873301,8,0
1969.333333,1969,119,1632,991,454,11823,0.101019673,10,0
1969.416667,1969,106,1511,945,427,12391,0.100581192,13,0
1969.5,1970,110,1559,1004,522,13460,0.103773981,11,0
1969.583333,1970,106,1630,1091,536,14055,0.104076404,6,0
1969.666667,1970,107,1579,958,405,12106,0.103773981,10,0
1969.75,1970,134,1653,850,437,11372,0.103026401,16,0
1969.833333,1970,147,2152,1109,434,9834,0.102730112,13,0
1969.916667,1970,180,2148,1113,437,9267,0.101997192,14,0
1970,1970,125,1752,925,316,9130,0.101274563,14,0
1970.083333,1970,134,1765,903,311,8933,0.100703976,6,0
1970.166667,1970,110,1717,1006,351,11000,0.100139607,8,0
1970.25,1970,102,1558,892,362,10733,0.098621104,11,0
1970.333333,1970,103,1575,990,486,12912,0.098349285,7,0
1970.416667,1970,111,1520,866,429,12926,0.098080177,13,0
1970.5,1971,120,1805,1095,551,13990,0.097279208,13,0
1970.583333,1971,129,1800,1204,646,14926,0.097410624,11,0
1970.666667,1971,122,1719,1029,456,12900,0.097425237,11,0
1970.75,1971,183,2008,1147,475,12034,0.096380633,14,0
1970.833333,1971,169,2242,1171,456,10643,0.095738956,16,0
1970.916667,1971,190,2478,1299,468,10742,0.095106306,14,0
1971,1971,134,2030,944,356,10266,0.096735967,17,0
1971.083333,1971,108,1655,874,271,10281,0.096109222,16,0
1971.166667,1971,104,1693,840,354,11527,0.095367255,15,0
1971.25,1971,117,1623,893,427,12281,0.094709592,13,0
1971.333333,1971,157,1805,1007,465,13587,0.09411762,13,0
1971.416667,1971,148,1746,973,440,13049,0.093532155,15,0
1971.5,1972,130,1795,1097,539,16055,0.092954049,12,0
1971.583333,1972,140,1926,1194,646,15220,0.092839786,6,0
1971.666667,1972,136,1619,988,457,13824,0.092724736,9,0
1971.75,1972,140,1992,1077,446,12729,0.092269651,13,0
1971.833333,1972,187,2233,1045,402,11467,0.091706685,14,0
1971.916667,1972,150,2192,1115,441,11351,0.091262072,15,0
1972,1972,159,2080,1005,359,10803,0.090711603,14,0
1972.083333,1972,143,1768,857,334,10548,0.090276328,3,0
1972.166667,1972,114,1835,879,312,12368,0.089951918,12,0
1972.25,1972,127,1569,887,427,13311,0.089099639,13,0
1972.333333,1972,159,1976,1075,434,13885,0.088679193,12,0
1972.416667,1972,156,1853,1121,486,14088,0.088159289,8,0
1972.5,1973,138,1965,1190,569,16932,0.088902057,8,0
1972.583333,1973,120,1689,1058,523,16164,0.088181331,15,0
1972.666667,1973,117,1778,939,418,14883,0.088940293,8,0
1972.75,1973,170,1976,1074,452,13532,0.08772661,5,0
1972.833333,1973,168,2397,1089,462,12220,0.087428846,17,0
1972.916667,1973,198,2654,1208,497,12025,0.08703543,14,0
1973,1973,144,2097,903,354,11692,0.086449919,13,0
1973.083333,1973,146,1963,916,347,11081,0.085872641,5,0
1973.166667,1973,109,1677,787,276,13745,0.085398222,8,0
1973.25,1973,131,1941,1114,472,14382,0.083821981,5,0
1973.333333,1973,151,2003,1014,487,14391,0.08459078,12,0
1973.416667,1973,140,1813,1022,505,15597,0.084136904,11,0
1973.5,1974,153,2012,1114,619,16834,0.083778405,13,0
1973.583333,1974,140,1912,1132,640,17282,0.083510743,15,0
1973.666667,1974,161,2084,1111,559,15779,0.082806394,11,0
1973.75,1974,168,2080,1008,453,13946,0.081178893,11,0
1973.833333,1974,152,2118,916,418,12701,0.082853607,10,0
1973.916667,1974,136,2150,992,419,10431,0.094190119,13,0
1974,1974,113,1608,731,262,11616,0.092399843,8,0
1974.083333,1974,100,1503,665,299,10808,0.108161478,6,0
1974.166667,1974,103,1548,724,303,12421,0.107211689,8,0
1974.25,1974,103,1382,744,401,13605,0.114042967,14,0
1974.333333,1974,121,1731,910,413,14455,0.112454116,12,0
1974.416667,1974,134,1798,883,426,15019,0.111316253,14,0
1974.5,1975,133,1779,900,516,15662,0.110301252,13,0
1974.583333,1975,129,1887,1057,600,16745,0.108197177,9,0
1974.666667,1975,144,2004,1076,459,14717,0.107027443,4,0
1974.75,1975,154,2077,919,443,13756,0.104946981,13,0
1974.833333,1975,156,2092,920,412,12531,0.119357749,6,0
1974.916667,1975,163,2051,953,400,12568,0.117621904,15,0
1975,1975,122,1577,664,278,11249,0.133027421,12,0
1975.083333,1975,92,1356,607,302,11096,0.130845244,16,0
1975.166667,1975,117,1652,777,381,12637,0.128318477,7,0
1975.25,1975,95,1382,633,279,13018,0.123547448,12,0
1975.333333,1975,96,1519,791,442,15005,0.118586812,10,0
1975.416667,1975,108,1421,790,409,15235,0.11633748,9,0
1975.5,1976,108,1442,803,416,15552,0.115161476,9,0
1975.583333,1976,106,1543,884,511,16905,0.114501197,6,0
1975.666667,1976,140,1656,769,393,14776,0.113522979,7,0
1975.75,1976,114,1561,732,345,14104,0.111930179,13,0
1975.833333,1976,158,1905,859,391,12854,0.110610529,14,0
1975.916667,1976,161,2199,994,470,12956,0.115274389,13,0
