Date,FB,TWTR,NFLX
2013-11-07,47.560001,44.900002,46.694286
2013-11-08,47.529999,41.650002,47.842857
2013-11-11,46.200001,42.900002,48.272858
2013-11-12,46.610001,41.900002,47.675713
2013-11-13,48.709999,42.599998,47.897144
2013-11-14,48.990002,44.689999,48.938572
2013-11-15,49.009998,43.98,49.965714
2013-11-18,45.830002,41.139999,48.824287
2013-11-19,46.360001,41.75,48.18428400000001
2013-11-20,46.43,41.049999,48.502857
2013-11-21,46.700001,42.060001,49.785713
2013-11-22,46.23,41.0,49.692856
2013-11-25,44.82,39.060001,50.034286
2013-11-26,45.889999,40.18,50.742859
2013-11-27,46.490002,40.900002,51.784286
2013-11-29,47.009998,41.57,52.257141
2013-12-02,47.060001,40.779999,51.988571
2013-12-03,46.73,41.369999,51.848572
2013-12-04,48.619999,43.689999,50.895714
2013-12-05,48.34,45.619999,51.151428
2013-12-06,47.939999,44.950001,50.634285
2013-12-09,48.84,49.139999,50.810001
2013-12-10,50.25,51.990002,51.871429
2013-12-11,49.380001,52.34,51.997143
2013-12-12,51.830002,55.330002,53.332859
2013-12-13,53.32,59.0,52.709999
2013-12-16,53.810001,56.610001,52.330002
2013-12-17,54.860001,56.450001,53.55285600000001
2013-12-18,55.57,55.509998,53.748573
2013-12-19,55.049999,57.490002,53.82
2013-12-20,55.119999,60.009998,53.667141
2013-12-23,57.77,64.540001,54.368572
2013-12-24,57.959999,69.959999,54.055714
2013-12-26,57.73,73.309998,53.847141
2013-12-27,55.439999,63.75,52.5
2013-12-30,53.709999,60.509998,52.427143
2013-12-31,54.650002,63.650002,52.59571500000001
2014-01-02,54.709999,67.5,51.831429
2014-01-03,54.560001,69.0,51.871429
2014-01-06,57.200001,66.290001,51.367142
2014-01-07,57.919998,61.459999,48.5
2014-01-08,58.23,59.290001,48.712856
2014-01-09,57.220001,57.049999,48.150002
2014-01-10,57.939999,57.0,47.44857
2014-01-13,55.91,57.82,48.115715
2014-01-14,57.740002,58.209999,48.279999
2014-01-15,57.599998,61.57,47.197144
2014-01-16,57.189999,60.57,47.382858
2014-01-17,56.299999,62.200001,47.148571
2014-01-21,58.509998,62.529999,46.958572
2014-01-22,57.509998,62.439999,47.675713
2014-01-23,56.630001,62.799999,55.531429
2014-01-24,54.450001,61.740002,55.154285
2014-01-27,53.549999,57.91,54.46143000000001
2014-01-28,55.139999,60.439999,58.110001
2014-01-29,53.529999,59.450001,57.202858
2014-01-30,61.080002,63.470001,57.810001
2014-01-31,62.57,64.5,58.47571600000001
2014-02-03,61.48,65.25,57.76857
2014-02-04,62.75,66.32,57.987144
2014-02-05,62.189999,65.970001,57.774284
2014-02-06,62.16,50.029999,58.27285799999999
2014-02-07,64.32,54.349998,61.425713
2014-02-10,63.549999,52.919998,61.491428000000006
2014-02-11,64.849998,54.0,61.998573
2014-02-12,64.449997,56.849998,61.27571500000001
2014-02-13,67.33000200000001,56.470001,62.364285
2014-02-14,67.089996,57.439999,62.215714
2014-02-18,67.300003,58.18,62.40714300000001
2014-02-19,68.059998,55.5,61.175713
2014-02-20,69.629997,56.630001,62.13571500000001
2014-02-21,68.589996,55.919998,61.74714300000001
2014-02-24,70.779999,55.779999,63.85714300000001
2014-02-25,69.849998,54.959999,64.718575
2014-02-26,69.260002,55.869999,64.112854
2014-02-27,68.940002,55.77,64.604286
2014-02-28,68.459999,54.91,63.66143
2014-03-03,67.410004,53.709999,63.65571600000001
2014-03-04,68.800003,54.279999,64.997147
2014-03-05,71.57,54.380001,64.785713
2014-03-06,70.839996,54.830002,64.358574
2014-03-07,69.800003,53.529999,64.052856
2014-03-10,72.029999,53.880001,62.849998
2014-03-11,70.099998,54.02,62.49714300000001
2014-03-12,70.879997,54.5,62.368572
2014-03-13,68.83000200000001,53.57,61.437141
2014-03-14,67.720001,51.919998,60.64143000000001
2014-03-17,68.739998,52.049999,60.388573
2014-03-18,69.190002,51.130001,60.035713
2014-03-19,68.239998,51.240002,60.012856000000006
2014-03-20,66.970001,50.119999,60.610001
2014-03-21,67.239998,50.919998,57.998573
2014-03-24,64.099998,48.77,54.128571
2014-03-25,64.889999,47.880001,52.97714200000001
2014-03-26,60.389999,44.43,53.182858
2014-03-27,60.970001,46.32,52.02571500000001
2014-03-28,60.009998,47.299999,51.267143
2014-03-31,60.240002,46.669998,50.290001
2014-04-01,62.619999,46.98,52.098572
2014-04-02,62.720001,45.73,51.84
2014-04-03,59.490002,44.049999,50.669998
2014-04-04,56.75,43.139999,48.187141
2014-04-07,56.950001,42.450001,48.285713
2014-04-08,58.189999,41.779999,49.841427
2014-04-09,62.41,42.490002,50.432858
2014-04-10,59.16,41.34,47.818573
2014-04-11,58.529999,40.049999,46.672855
2014-04-14,58.889999,40.869999,47.368572
2014-04-15,59.09,45.52,46.610001
2014-04-16,59.720001,44.419998,47.344284
2014-04-17,58.939999,45.009998,49.39143
2014-04-21,61.240002,46.130001,49.784286
2014-04-22,63.029999,46.02,53.271427
2014-04-23,61.360001,45.950001,50.5
2014-04-24,60.869999,44.82,49.152859
2014-04-25,57.709999,41.610001,46.011429
2014-04-28,56.139999,40.73,44.887142
2014-04-29,58.150002,42.619999,45.695713
2014-04-30,59.779999,38.970001,46.00571400000001
2014-05-01,61.150002,39.09,48.074287
2014-05-02,60.459999,39.02,48.664288
2014-05-05,61.220001,38.75,49.197144
2014-05-06,58.529999,31.85,46.598572
2014-05-07,57.389999,30.66,45.791428
2014-05-08,56.759998,31.959999,45.951427
2014-05-09,57.240002,32.049999,46.935715
2014-05-12,59.830002,33.939999,49.349998
2014-05-13,59.830002,33.389999,49.591427
2014-05-14,59.23,32.849998,50.26857
2014-05-15,57.919998,32.77,49.169998
2014-05-16,58.02,32.259998,49.982857
2014-05-19,59.209999,32.07,52.07143
2014-05-20,58.560001,31.77,53.09571500000001
2014-05-21,60.490002,31.75,55.799999
2014-05-22,60.52,31.52,55.971428
2014-05-23,61.349998,30.5,57.478573
2014-05-27,63.48,30.51,56.972858
2014-05-28,63.509998,33.77,57.32
2014-05-29,63.830002,34.0,59.314285
2014-05-30,63.299999,32.439999,59.689999
2014-06-02,63.080002,31.75,60.294285
2014-06-03,62.869999,32.580002,59.652859
2014-06-04,63.34,32.900002,60.458572
2014-06-05,63.189999,33.889999,61.192856000000006
2014-06-06,62.5,33.330002,61.447144
2014-06-09,62.880001,34.470001,60.44142900000001
2014-06-10,65.769997,35.369999,61.184284
2014-06-11,65.779999,35.54000100000001,61.42856999999999
2014-06-12,64.290001,36.790001,60.349998
2014-06-13,64.5,36.900002,61.101429
2014-06-16,64.190002,38.02,61.465714
2014-06-17,64.400002,38.02,63.378571
